id,name,sex,grau,grau.date,grau.obs,uc-entrada,uc-entrada.date,uc-entrada.obs,uc-saida,uc-saida.date,uc-saida.obs,faculdade,faculdade.date,faculdade.obs,nota-processamento,nota-processamento.date,nota-processamento.obs,naturalidade,naturalidade.date,naturalidade.obs,faculdade-original,faculdade-original.date,faculdade-original.obs
145929,Abel Pereira de Andrade,m,Doutor em Direito,1898-01-23,"Doutor: 23.01.1898, Atos Grandes n.º 6, fl. 142 v.",1886-10-02,1886-10-02,,1891-06-19,1891-06-19,,Direito,1886-10-02,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Teologia para Direito,Teologia.",Vila do Conde,1886-10-02,,Teologia,1886-10-02,
145929,Abel Pereira de Andrade,m,Doutor em Direito,1898-01-23,"Doutor: 23.01.1898, Atos Grandes n.º 6, fl. 142 v.",1886-10-02,1886-10-02,,1891-06-19,1891-06-19,,Direito,1886-10-02,Faculdade corrigida,"Faculdade corrigida, combinação incomum",2022-05-01,"Teologia para Direito,Teologia.",Vila do Conde,1886-10-02,,Teologia,1886-10-02,
145929,Abel Pereira de Andrade,m,Doutor em Direito,1898-01-23,"Doutor: 23.01.1898, Atos Grandes n.º 6, fl. 142 v.",1886-10-02,1886-10-02,,1891-06-19,1891-06-19,,Teologia,1886-10-02,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Teologia para Direito,Teologia.",Vila do Conde,1886-10-02,,Teologia,1886-10-02,
145929,Abel Pereira de Andrade,m,Doutor em Direito,1898-01-23,"Doutor: 23.01.1898, Atos Grandes n.º 6, fl. 142 v.",1886-10-02,1886-10-02,,1891-06-19,1891-06-19,,Teologia,1886-10-02,Faculdade corrigida,"Faculdade corrigida, combinação incomum",2022-05-01,"Teologia para Direito,Teologia.",Vila do Conde,1886-10-02,,Teologia,1886-10-02,
182551,Acúrcio José de Magalhães,m,Doutor em Leis,1727-07-02,Doutor 02.07.1727,1720-10-01,1720-10-01,,1745-10-01,1745-10-01,,Leis,1720-10-01,Leis,,,,Coimbra,1720-10-01,,,,
174059,Adriano António das Neves e Melo,m,Doutor em Teologia,1820-06-25,"Doutoramento 25.06.1820, Atos grandes n.º 3, fl. 80v.",1814-10-07,1814-10-07,,1820-06-25,1820-06-25,,Teologia,1814-10-07,Teologia,,,,Coimbra,1814-10-07,,,,
250994,Adriano Joaquim de Mariz e Silva Monteiro,m,Doutor em Cursos jurídicos (Cânones ou Leis),1800-07-27,"Doutoramento 27.07.1800 Atos grandes n.º 2, fl. 179v.",1794-10-14,1794-10-14,,1800-07-27,1800-07-27,,Cursos jurídicos (Cânones ou Leis),1794-10-14,Direito,,,,"Arcos, Aveiro",1794-10-14,Arcos ( Aveiro),,,
142078,Adriano José Pinto de Almeida,m,Doutor em Leis,1802-06-13,"13.06.1802, Atos Grande n.º 2, fl. 183 v.",1795-10-01,1795-10-01,,1802-06-13,1802-06-13,,Leis,1795-10-01,Leis,,,,Lisboa,1795-10-01,,,,
181613,Adriano de Abreu Cardoso Machado,m,Doutor em Direito,1851-05-25,"Doutoramento 25.05.1851, Atos grandes n.º 4, fl. 114",1844-10-19,1844-10-19,,1851-05-25,1851-05-25,,Direito,1844-10-19,Direito,,,,Monção,1844-10-19,,,,
223644,Adrião Pedro,m,Doutor em Teologia,1626-05-01,01.05.1626,1622-07-13,1622-07-13,,1626-05-01,1626-05-01,,Teologia,1622-07-13,Teologia,,,,,,,,,
