,match,nome-geografico,uc-entrada,uc-saida,name,nome-vide,lookup,nome-pai,vide_type,faculdade,match_type,match_error,match_obs
179898,151044,Pinheiro de Ázere,0000-00-00,0000-00-00,Adrião da Barca de Gouveia,Barca,Adrião da Barca,,cut,,see-aka,False,
151044,179898,Pinheiro de Ázere,1596-10-19,1620-07-11,Adrião da Barca,Gouveia,Adrião da Barca Gouveia,Baltasar Cardoso,add,Cânones,aka-see,False,
151589,131748,Viana,0000-00-00,0000-00-00,Afonso de Barros,Caminha,Afonso de Barros Caminha,,add,,see-aka,False,
131748,151589,Viana,1684-10-01,1687-10-01,Afonso de Barros Caminha,Barros,Afonso de Barros,,cut,Cânones,aka-see,False,
250325,151588,Estremoz,0000-00-00,0000-00-00,Afonso de Barros Preto,Barros,Afonso de Barros,Francisco Dias Zagalo,cut,,see-aka,False,
151588,250325,Estremoz,1563-11-16,1577-10-11,Afonso de Barros,Preto,Afonso de Barros Preto,,add,Leis,aka-see,False,
181618,186611,Viseu,0000-00-00,0000-00-00,Afonso Botelho Machado,Botelho,Afonso Botelho,,cut,Leis,see-aka,False,
186611,181618,Viseu,1609-10-01,1624-10-30,Afonso Botelho,Machado,Afonso Botelho Machado,António Machado,add,Cânones,aka-see,False,
186611,181618,Viseu,1609-10-01,1624-10-30,Afonso Botelho,Machado,Afonso Botelho Machado,António Machado,add,Leis,aka-see,False,
221796,164067,Elvas,0000-00-00,0000-00-00,Afonso Frausto Segurado,Frausto,Afonso Frausto,,cut,,see-see,False,
164067,221796,Elvas,0000-00-00,1627-02-12,Afonso Frausto,Segurado,Afonso Frausto Segurado,,add,Cânones,see-see,False,
214147,,Lisboa,0000-00-00,0000-00-00,Afonso Furtado de Mendonça,Furtado,Afonso Furtado,,cut,,,True,E04-Ambiguity in match data
169888,,Lisboa,1585-10-15,1594-07-30,Afonso Furtado,Mendonça,Afonso Furtado Mendonça,deJorge Furtado de Mendonça,add,Cânones,,True,E04-Ambiguity in match data
169890,,Lisboa,1600-10-05,1611-06-05,Afonso Furtado,Mendonça,Afonso Furtado Mendonça,Martim de Castro Osório,add,Cânones,,True,E04-Ambiguity in match data
203124,177343,Fronteira,0000-00-00,0000-00-00,Afonso Garcia Tinoco,Garcia,Afonso Garcia,Pedro Garcia Tinoco,cut,Leis,see-aka,False,
177343,203124,Fronteira,1577-10-03,1585-11-23,Afonso Garcia,Tinoco,Afonso Garcia Tinoco,Pedro Garcia Tinoco,add,Leis,aka-see,False,
187008,190253,Arruda,0000-00-00,0000-00-00,Afonso Henriques,Homem,Afonso Henriques Homem,,add,Cânones,see-aka,False,
190253,187008,Arruda,1653-10-25,1659-10-24,Afonso Henriques Homem,Henriques,Afonso Henriques,,cut,Cânones,aka-see,False,
184829,160532,Campo Maior,0000-00-00,0000-00-00,Afonso Martins,Fouto,Afonso Martins Fouto,,add,,see-aka,False,
160532,184829,Campo Maior,1641-10-17,1648-05-14,Afonso Martins Fouto,Martins,Afonso Martins,Gaspar da Gama,cut,Leis,aka-see,False,
244221,172641,Lisboa,1562-11-10,1570-07-03,Afonso Nunes Ferreira,Nunes,Afonso Nunes,,cut,Leis,aka-aka,False,
172641,244221,Lisboa,1563-12-01,1568-06-30,Afonso Nunes,Ferreira,Afonso Nunes Ferreira,,add,Leis,aka-aka,False,
223131,234243,Torrão,0000-00-00,0000-00-00,Afonso Pato,Sousa,Afonso Pato Sousa,André Pato,add,Leis,see-aka,False,
234243,223131,Torrão,1616-12-10,1622-07-05,Afonso Pato de Sousa,Pato,Afonso Pato,André Pato,cut,Leis,aka-see,False,
234243,223131,Torrão,1616-12-10,1622-07-05,Afonso Pato de Sousa,Pato,Afonso Pato,André Pato,cut,Medicina,aka-see,False,
223831,231672,Estremoz,0000-00-00,0000-00-00,Afonso Soares Serrão,Soares,Afonso Soares,,cut,,see-aka,False,
231672,223831,Estremoz,1654-10-13,1660-07-14,Afonso Soares,Serrão,Afonso Soares Serrão,Diogo Pereira,add,Medicina,aka-see,False,
234683,201868,Moura,0000-00-00,0000-00-00,Afonso Teles de Menezes,Teles,Afonso Teles,,cut,,see-aka,False,
201868,234683,Moura,1592-10-16,1598-10-20,Afonso Teles,Menezes,Afonso Teles Menezes,Rui Teles,add,Cânones,aka-see,False,
163159,143866,Lisboa,0000-00-00,0000-00-00,Afonso Álvares Franco,Álvares,Afonso Álvares,,cut,,see-aka,False,
143866,163159,Lisboa,1560-10-01,1572-07-29,Afonso Álvares,Franco,Afonso Álvares Franco,,add,Cânones,aka-see,False,
198999,148379,Ilha da Madeira,0000-00-00,0000-00-00,Agostinho de Atouguia da Costa,Atouguia,Agostinho de Atouguia,,cut,,see-aka,False,
148379,198999,Ilha da Madeira,1579-10-02,1585-10-01,Agostinho de Atouguia,Costa,Agostinho de Atouguia Costa,António de Atouguia,add,Cânones,aka-see,False,
164224,148698,Coimbra,0000-00-00,0000-00-00,Agostinho do Avelar Freire,do Avelar,Agostinho do Avelar,,cut,,see-aka,False,
148698,164224,Coimbra,1647-10-15,1654-12-04,Agostinho do Avelar,Freire,Agostinho do Avelar Freire,,add,Cânones,aka-see,False,
148698,164224,Coimbra,1647-10-15,1654-12-04,Agostinho do Avelar,Freire,Agostinho do Avelar Freire,,add,Leis,aka-see,False,
150572,244243,Arrifana de Sousa,1666-01-07,1671-06-06,Agostinho Barbosa,Ferreira,Agostinho Barbosa Ferreira,Francisco Barbosa Ferreira,add,Cânones,aka-aka,False,
244243,150572,Arrifana de Sousa,1666-01-07,1671-06-06,Agostinho Barbosa Ferreira,Barbosa,Agostinho Barbosa,Francisco Barbosa Ferreira,cut,Cânones,aka-aka,False,
150572,244243,Penafiel,1666-01-07,1671-06-06,Agostinho Barbosa,Ferreira,Agostinho Barbosa Ferreira,Francisco Barbosa Ferreira,add,Cânones,aka-aka,False,
244233,134538,Lisboa,0000-00-00,0000-00-00,Agostinho Ferreira,Rebelo,Agostinho Ferreira Rebelo,,add,Cânones,see-aka,False,
134538,244233,Lisboa,1658-10-01,1665-07-18,Agostinho Ferreira Rebelo,Ferreira,Agostinho Ferreira,Agostinho Francisco Ferreira,cut,Cânones,aka-see,False,
225541,179131,Capinha,0000-00-00,0000-00-00,Agostinho Gonçalves Pereira,Gonçalves,Agostinho Gonçalves,,cut,,see-aka,False,
179131,225541,Capinha,1641-10-15,1649-11-02,Agostinho Gonçalves,Pereira,Agostinho Gonçalves Pereira,António Gonçalves,add,Cânones,aka-see,False,
141555,253938,Lamego,0000-00-00,0000-00-00,Agostinho de Loureiro de Aguiar,Loureiro,Agostinho de Loureiro,,cut,,see-aka,False,
253938,141555,Lamego,1689-10-01,1689-10-01,Agostinho Loureiro,de Aguiar,Agostinho Loureiro de Aguiar,,add,Cânones,aka-see,False,
222335,183928,Nagoselo,0000-00-00,0000-00-00,Agostinho Manuel de Sequeira,Agostinho Manuel,Agostinho Manuel,,cut,,see-aka,False,
183928,222335,Nogoselo,1756-10-01,1756-10-01,Agostinho Manuel,Agostinho Manuel de Sequeira,Agostinho Manuel de Sequeira,,rep,Cursos jurídicos (Cânones ou Leis),aka-see,False,
185242,251007,Lisboa,0000-00-00,0000-00-00,Agostinho Monteiro Belo,Monteiro,Agostinho Monteiro,,cut,,see-aka,False,
251007,185242,Lisboa,1692-10-01,1692-10-01,Agostinho Monteiro,Belo,Agostinho Monteiro Belo,,add,Cursos jurídicos (Cânones ou Leis),aka-see,False,
220849,181106,Borba,0000-00-00,0000-00-00,Agostinho Pais,de Gusmão,Agostinho Pais de Gusmão,,add,,see-aka,False,
181106,220849,Borba,1700-10-01,1707-10-01,Agostinho Pais de Gusmão,Pais,Agostinho Pais,,cut,Cânones,aka-see,False,
242448,216647,Lisboa,0000-00-00,0000-00-00,Agostinho Vieira de Faria,Vieira,Agostinho Vieira,,cut,Cânones,see-aka,False,
216647,242448,Lisboa,1675-10-01,1682-07-18,Agostinho Vieira,Faria,Agostinho Vieira Faria,Sebastião Soares,add,Cânones,aka-see,False,
164227,248237,Lisboa,0000-00-00,0000-00-00,Aires Fernandes Freire,,Aires Fernandes Freire,,novid,,see-see,False,W01-Single match (asymmetric) data
248237,,Lisboa,0000-00-00,1556-05-10,Aires Fernandes,Freire,Aires Fernandes Freire,,add,Cânones,,False,W01-Single match (asymmetric) data
211400,211401,Vouzela,0000-00-00,0000-00-00,Aires Gomes de Sá,Aires Mendes de Sá,Aires Mendes de Sá,,rep,,see-aka,False,
211401,211400,Vouzela,1665-10-17,1673-06-16,Aires Mendes de Sá,Aires Gomes de Sá,Aires Gomes de Sá,,rep,Cânones,aka-see,False,
178249,211389,Coimbra,0000-00-00,0000-00-00,Aires Gomes,Sá,Aires Gomes Sá,,add,,see-aka,False,
211389,178249,Coimbra,1537-06-07,1559-06-29,Aires Gomes de Sá,Gomes,Aires Gomes,Mendo Gomes,cut,Cânones,aka-see,False,
211389,178249,Coimbra,1537-06-07,1559-06-29,Aires Gomes de Sá,Gomes,Aires Gomes,Mendo Gomes,cut,Leis,aka-see,False,
251010,135992,Beja,0000-00-00,0000-00-00,Alberto Dias Monteiro,Dias,Alberto Dias,,cut,,see-aka,False,
135992,251010,Beja,1621-10-16,1627-01-25,Alberto Dias,Monteiro,Alberto Dias Monteiro,Domingos Dias Monteiro,add,Cânones,aka-see,False,
181626,220850,Lisboa,0000-00-00,0000-00-00,Alberto Pais Machado,Pais,Alberto Pais,,cut,Leis,see-aka,False,
220850,181626,Lisboa,1625-10-14,1639-01-18,Alberto Pais,Machado,Alberto Pais Machado,Simão Pais,add,Leis,aka-see,False,
172659,197436,Borba,0000-00-00,0000-00-00,Aleixo Nunes,Leal,Aleixo Nunes Leal,Rui Vaz Leal,add,Cânones,see-aka,False,
197436,172659,Borba,1582-10-19,1589-10-14,Aleixo Nunes Leal,Nunes,Aleixo Nunes,Rui Vaz Leal,cut,Cânones,aka-see,False,
172659,197436,Évora,0000-00-00,0000-00-00,Aleixo Nunes,Leal,Aleixo Nunes Leal,Rui Vaz Leal,add,Cânones,see-aka,False,
197436,172659,Évora,1582-10-19,1589-10-14,Aleixo Nunes Leal,Nunes,Aleixo Nunes,Rui Vaz Leal,cut,Cânones,aka-see,False,
190775,193260,Abrantes,0000-00-00,0000-00-00,Aleixo Rodrigues,Coelho,Aleixo Rodrigues Coelho,,add,,see-aka,False,
193260,190775,Abrantes,1690-10-01,1694-10-01,Aleixo Rodrigues Coelho,Rodrigues,Aleixo Rodrigues,,cut,Cânones,aka-see,False,
233523,147478,,0000-00-00,0000-00-00,Alexandre de Araújo Sodré,Araújo,Alexandre de Araújo,,cut,,see-aka,False,
147478,233523,,1700-11-23,1700-11-23,Alexandre de Araújo,Sodré,Alexandre de Araújo Sodré,António de Araújo de Macedo,add,Cursos jurídicos (Cânones ou Leis),aka-see,False,
225361,132080,Góis,0000-00-00,0000-00-00,Alexandre de Figueiredo Perdigão,Figueiredo,Alexandre de Figueiredo,,cut,,see-aka,False,
132080,225361,Góis,1621-10-07,1627-10-12,Alexandre de Figueiredo,Perdigão,Alexandre de Figueiredo Perdigão,António Rodrigues,add,Leis,aka-see,False,
197084,220028,Aljubarrota,0000-00-00,0000-00-00,Alexandre Gomes Vogado Azambuja Tavares,Vogado,Alexandre Gomes Vogado,,cut,,see-aka,False,
220028,197084,Aljubarrota,1740-10-01,1749-10-01,Alexandre Gomes Vogado,Azambuja Tavares,Alexandre Gomes Vogado Azambuja Tavares,,add,Medicina,aka-see,False,
233816,242800,Carvalhais,0000-00-00,0000-00-00,Alexandre Manuel Macedo Soutomaior,Soutomaior,Alexandre Manuel Macedo Soutomaior,,cut,,see-aka,False,
242800,233816,Carvalhais,1776-12-07,1777-12-10,Alexandre Manuel de Macedo Soutomaior,Soutomaior,Alexandre Manuel de Macedo Soutomaior,,cut,Cursos jurídicos (Cânones ou Leis),aka-see,False,
235565,223840,Sardoal,0000-00-00,0000-00-00,Alexandre da Mota,Serrão,Alexandre da Mota Serrão,Jacinto da Mota Serrão,add,,see-aka,False,
223840,235565,Sardoal,1665-10-20,1677-07-30,Alexandre da Mota Serrão,Mota,Alexandre da Mota,,cut,Cânones,aka-see,False,
208805,197502,Coimbra,0000-00-00,0000-00-00,Amador Leal de Vasconcelos,Leal,Amador Leal,,cut,,see-aka,False,
197502,208805,Coimbra,1635-10-01,1650-12-24,Amador Leal,Vasconcelos,Amador Leal Vasconcelos,,add,Cânones,aka-see,False,
193272,224321,Arrifana de Sousa,0000-00-00,0000-00-00,Amaro Coelho,da Silva,Amaro Coelho da Silva,,add,,see-aka,False,
224321,193272,Arrifana de Sousa,1677-10-01,1684-05-16,Amaro Coelho da Silva,Coelho,Amaro Coelho,,cut,Cânones,aka-see,False,
173626,164250,São Tiago Novo,1647-01-02,1655-10-15,Amaro de Meireles,Freire,Amaro de Meireles Freire,,add,Cânones,aka-aka,False,
164250,173626,São Tiago Novo,1706-06-26,1706-06-26,Amaro de Meireles Freire,Meireles,Amaro de Meireles,,cut,Cânones,aka-aka,False,
190285,,Ventosa,0000-00-00,0000-00-00,Amaro Nunes Homem,Nunes,Amaro Nunes,,cut,,,True,E04-Ambiguity in match data
172681,,Ventosa,1614-10-09,1624-10-11,Amaro Nunes,Homem,Amaro Nunes Homem,Simão Pires,add,Medicina,,True,E04-Ambiguity in match data
172677,,Ventosa,1636-11-10,1652-10-01,Amaro Nunes,Homem,Amaro Nunes Homem,Simão Pires de Morais,add,Medicina,,True,E04-Ambiguity in match data
231024,,Lousã,0000-00-00,0000-00-00,Amaro Simões,Neves,Amaro Simões Neves,Francisco Simões,add,,,True,E04-Ambiguity in match data
231025,,Lousã,1661-11-21,1669-10-15,Amaro Simões,Neves,Amaro Simões Neves,,add,Cânones,,True,E04-Ambiguity in match data
231025,,Lousã,1661-11-21,1669-10-15,Amaro Simões,Neves,Amaro Simões Neves,,add,Teologia,,True,E04-Ambiguity in match data
169177,,Lousã,1669-10-01,1678-07-30,Amaro Simões das Neves,Simões,Amaro Simões,,cut,Teologia,,True,E04-Ambiguity in match data
190139,190138,Lisboa,0000-00-00,0000-00-00,Ambrósio Pereira de Berredo e Castro,Ambrósio Pereira de Castro,Ambrósio Pereira de Castro,,rep,,see-aka,False,
190138,190139,Lisboa,1717-10-26,1719-10-01,Ambrósio Pereira de Castro,Ambrósio Pereira de Berredo e Castro,Ambrósio Pereira de Berredo e Castro,,rep,Cânones,aka-see,False,
190143,146881,Vila Viçosa,0000-00-00,0000-00-00,André António de Castro,André António,André António,,cut,,see-aka,False,
146881,190143,Vila Viçosa,1595-10-01,1600-10-24,André António,Castro,André António Castro,António André,add,Medicina,aka-see,False,
213090,148502,Santiago de Cacém,0000-00-00,0000-00-00,André Ascenso Salema,Ascenso,André Ascenso,,cut,Leis,see-aka,False,
148502,213090,Santiago do Cacém,1650-10-12,1658-03-30,André Ascenso,Salema,André Ascenso Salema,Manuel Raposo Pessanha,add,Cânones,aka-see,False,
148502,213090,Santiago do Cacém,1650-10-12,1658-03-30,André Ascenso,Salema,André Ascenso Salema,Manuel Raposo Pessanha,add,Leis,aka-see,False,
214217,158918,Viana,0000-00-00,0000-00-00,André Casado Velho,Casado,André Casado,,cut,,see-aka,False,
158918,214217,Viana,1663-12-05,1665-12-15,André Casado,Velho,André Casado Velho,,add,Cânones,aka-see,False,
189117,239860,Arganil,0000-00-00,0000-00-00,André Castanheira,Moura,André Castanheira Moura,,add,,see-aka,False,
239860,189117,Arganil,1669-10-21,1674-06-19,André Castanheira Moura,Castanheira,André Castanheira,,cut,Cânones,aka-see,False,
196029,132143,Setúbal,0000-00-00,0000-00-00,André Cordeiro,André de Figueiredo,André de Figueiredo,,rep,,see-aka,False,
132143,196029,Setúbal,1611-10-01,1616-10-24,André de Figueiredo,André Cordeiro,André Cordeiro,Gaspar de Figueiredo,rep,Leis,aka-see,False,
145886,136505,Castelo Branco,0000-00-00,0000-00-00,André Dias de Andrade,Dias,André Dias,,cut,,see-aka,False,
136505,145886,Castelo Branco,1595-10-01,1601-11-20,André Dias,Andrade,André Dias Andrade,António Dias,add,Medicina,aka-see,False,
195485,136508,Crato,0000-00-00,0000-00-00,André Dias da Conceição,Dias,André Dias,,cut,,see-aka,False,
136508,195485,Crato,1729-10-01,1731-10-01,André Dias,Conceição,André Dias Conceição,,add,Cânones,aka-see,False,
131577,177272,Elvas,0000-00-00,0000-00-00,André Fidalgo,Gançoso,André Fidalgo Gançoso,,add,,see-aka,False,
177272,131577,Elvas,1678-10-01,1680-10-15,André Fidalgo Gançoso,Fidalgo,André Fidalgo,,cut,Cânones,aka-see,False,
152872,164253,Lisboa,0000-00-00,0000-00-00,André Freire de Carvalho,Freire,André Freire,Manuel Botelho de Carvalho,cut,,see-aka,False,
164253,152872,Lisboa,1673-12-15,1679-03-10,André Freire,de Carvalho,André Freire de Carvalho,Manuel Botelho de Carvalho,add,Cânones,aka-see,False,
230321,177734,Lisboa,0000-00-00,0000-00-00,André Gil da Silveira,Gil,André Gil,,cut,,see-aka,False,
177734,230321,Lisboa,1603-10-09,1612-06-05,André Gil,da Silveira,André Gil da Silveira,Julianes Gil,add,Leis,aka-see,False,
131818,178266,Guimarães,0000-00-00,0000-00-00,André Gomes Caneira,Gomes,André Gomes,,cut,Cânones,see-aka,False,
178266,131818,Guimarães,1648-10-11,1658-12-24,André Gomes,Caneira,André Gomes Caneira,,add,Cânones,aka-see,False,
