id,name,name_sp,nome-vide,vide_type,lookup,lookup_sp
271719,Abel de Mendonça Machado de Araújo,Abel Mendonça Machado Araújo,Abel de Mendonça,cut,Abel de Mendonça,Abel Mendonça
271719,Abel de Mendonça Machado de Araújo,Abel Mendonça Machado Araújo,Abel de Mendonça,cut,Abel de Mendonça,Abel Mendonça
182548,Abel Xavier Teixeira de Magalhães,Abel Xavier Teixeira Magalhães,José Joaquim Xavier Teixeira de Magalhães,rep,José Joaquim Xavier Teixeira de Magalhães,José Joaquim Xavier Teixeira Magalhães
285686,Abílio Ribeiro de Almeida Campos de Melo,Abílio Ribeiro Almeida Campos Melo,Abílio Ribeiro de Almeida,cut,Abílio Ribeiro de Almeida,Abílio Ribeiro Almeida
285686,Abílio Ribeiro de Almeida Campos de Melo,Abílio Ribeiro Almeida Campos Melo,Abílio Ribeiro de Almeida,cut,Abílio Ribeiro de Almeida,Abílio Ribeiro Almeida
286149,Adelino Pinto Tavares Ferrão de Mendonça,Adelino Pinto Tavares Ferrão Mendonça,Ferrão,cut,Adelino Pinto Tavares Ferrão,Adelino Pinto Tavares Ferrão
226683,Adolfo António Rôlo,Adolfo António Rôlo,Adolfo Augusto Zuzarte Rôlo,rep,Adolfo Augusto Zuzarte Rôlo,Adolfo Augusto Zuzarte Rôlo
226700,Adolfo Augusto Rôlo,Adolfo Augusto Rôlo,Adolfo António Rôlo,rep,Adolfo António Rôlo,Adolfo António Rôlo
273326,Adriano Ernesto de Castilho Barreto,Adriano Ernesto Castilho Barreto,Castilho,cut,Adriano Ernesto de Castilho,Adriano Ernesto Castilho
250994,Adriano Joaquim de Mariz e Silva Monteiro,Adriano Joaquim Mariz Silva Monteiro,Tomás Joaquim Lopes de Maris e Silva,rep+,Tomás Joaquim Lopes de Maris e Silva,Tomás Joaquim Lopes Maris Silva
250994,Adriano Joaquim de Mariz e Silva Monteiro,Adriano Joaquim Mariz Silva Monteiro,Tomás Joaquim Lopes de Maris e Silva,rep+,Tomás Joaquim Lopes de Maris e Silva,Tomás Joaquim Lopes Maris Silva
282429,Adriano Osório Pereira Gouveia,Adriano Osório Pereira Gouveia,Adriano Osório Pereira Cerenato,rep,Adriano Osório Pereira Cerenato,Adriano Osório Pereira Cerenato
180742,Adriano Osório Pereira Guerra,Adriano Osório Pereira Guerra,João António Pereira Cerenato,rep+,João António Pereira Cerenato,João António Pereira Cerenato
296930,Adriano Sisnando Brotero de Avelar Quintino,Adriano Sisnando Brotero Avelar Quintino,Adriano Sisnando Brotero Quintino de Avelar,rep,Adriano Sisnando Brotero Quintino de Avelar,Adriano Sisnando Brotero Quintino Avelar
151044,Adrião da Barca,Adrião Barca,Gouveia,add,Adrião da Barca Gouveia,Adrião Barca Gouveia
179898,Adrião da Barca de Gouveia,Adrião Barca Gouveia,Barca,cut,Adrião da Barca,Adrião Barca
225520,Adrião Pereira,Adrião Pereira,Gomes,add,Adrião Pereira Gomes,Adrião Pereira Gomes
151589,Afonso de Barros,Afonso Barros,Caminha,add,Afonso de Barros Caminha,Afonso Barros Caminha
151588,Afonso de Barros,Afonso Barros,Preto,add,Afonso de Barros Preto,Afonso Barros Preto
