nome-nota,count,min,max
padre,5714,1537-00-00,1899-10-02
D.,600,1537-00-00,1910-10-20
frei monge de São Bento,174,1728-10-01,1799-10-29
frei monge de São Bernardo,154,1732-10-01,1827-10-29
padre frei religioso de Nossa Senhora do Carmo,96,1664-10-01,1760-10-01
padre frei religioso de São Bernardo,93,1664-10-01,1751-07-17
frei monge de São Jerónimo,90,1729-11-07,1825-10-25
padre frei religioso de Nossa Senhora da Graça,85,1669-10-01,1759-10-01
frei,71,1537-12-28,1830-10-22
padre frei religioso de São Bento,68,1660-12-17,1751-10-01
frei religioso de São Bernardo,66,1658-07-17,1796-10-21
frei religioso de São Bento,66,1664-10-01,1792-10-29
padre frei monge de São Bento,58,1716-10-01,1760-10-01
frei religioso de Nossa Senhora da Graça,55,1670-00-00,1763-10-01
frei religioso da Ordem de Cristo,53,1671-10-01,1784-10-30
padre frei religioso de São Domingos,52,1698-10-01,1763-05-12
frei religioso de São Domingos,50,1699-10-01,1790-10-06
frei religioso da Santíssima Trindade,45,1646-05-27,1819-10-16
frei religioso de Nossa Senhora do Carmo,43,1656-03-19,1763-10-01
frei eremita de Santo Agostinho,42,1726-10-01,1824-10-18
frei religioso da 3ª Ordem de São Francisco,40,1696-11-08,1786-10-31
padre frei monge de São Bernardo,38,1713-10-01,1791-07-06
padre frei religioso da Trindade,37,1662-05-26,1718-10-01
frei religioso da Graça,36,1670-00-00,1760-00-00
frei da Ordem de São Francisco,36,1540-11-16,1797-10-09
padre frei religioso de São Jerónimo,36,1573-11-06,1746-10-01
colegial dos Militares,35,1659-05-09,1761-06-19
frei religioso da Trindade,33,1667-10-01,1785-10-31
cónego secular de São João Evangelista,32,1745-10-01,1824-10-06
frei religioso de Santo Agostinho,31,1597-05-17,1807-10-29
padre frei religioso da Ordem de Cristo,30,1665-10-01,1759-10-01
frei religioso do Carmo,29,1605-10-24,1782-10-23
frei religioso de São Jerónimo,29,1664-10-01,1792-10-31
padre frei religioso da Santíssima Trindade,28,1659-07-28,1735-10-01
padre frei,27,1542-01-31,1722-11-15
frei de São Bernardo,27,1569-00-00,1802-10-31
frei religioso de São Francisco,26,1695-10-30,1816-10-31
padre frei religioso da Ordem de São Bernardo,26,1664-10-01,1747-10-01
padre frei monge de São Jerónimo,24,1723-10-27,1767-11-14
frei de São Bento,23,1593-02-18,1716-10-01
frei da Ordem do Carmo,23,1551-07-05,1631-04-30
frei religioso da 3ª Ordem,21,1732-10-01,1795-10-07
frei da Ordem da Trindade,21,1551-10-00,1654-02-16
familiar de São Paulo,20,1611-11-10,1737-11-12
familiar de São Pedro,20,1616-10-06,1715-07-10
frei religioso de São Francisco da Província de Portuga,20,1740-10-01,1769-10-01
frei religioso de São Francisco da Província de Portugal,19,1728-10-01,1769-10-01
