id,name,ordem-religiosa,uc-entrada,uc-saida,faculdade,titulo,colegio,naturalidade,nome-pai,padre,nome-nota
245748,Manuel de Santa Gertudes Mialho,Caramelita Calçado,1818-10-30,1823-05-28,Teologia,frei,,Loulé,António Rodrigues Mialho,,frei Caramelita Calçado
133434,António Delgado,Companhia de Jesus,1555-07-06,1555-07-06,Artes,,Colégio de Jesus,,,,colegial do colégio de Jesus
205290,António Trancoso,Companhia de Jesus,1555-07-06,1555-07-06,Artes,,Colégio de Jesus,,,,colegial do colégio de Jesus
133439,Domingos Cardoso,Companhia de Jesus,1555-07-06,1555-07-06,Artes,,Colégio de Jesus,,,,colegial do colégio de Jesus
251940,Domingos Fernandes,Companhia de Jesus,1555-07-06,1572-00-00,Cânones,,Colégio de Jesus,Lisboa,,,colegial do colégio de Jesus
154621,Fernão Carvalho,Companhia de Jesus,1555-07-06,1555-07-06,Artes,,Colégio de Jesus,,,,colegial do colégio de Jesus
249914,Luís de Molina,Companhia de Jesus,1557-02-20,1557-02-28,Artes,,,,,,da Companhia de Jesus
210697,Luís de Vasconcelos,Companhia de Jesus,1557-02-20,1557-02-28,Artes,,,,,,da Companhia de Jesus
252405,Manuel Lopes,Companhia de Jesus,1555-06-06,1555-06-06,Artes,,Colégio de Jesus,,,,colegial do colégio de Jesus
202900,Manuel da Costa,Companhia de Jesus,1555-07-06,1555-07-06,Artes,,Colégio de Jesus,,,,colegial do colégio de Jesus
180345,Nicolau Gracida,Companhia de Jesus,1557-02-20,1557-02-28,Artes,,,,,,Companhia de Jesus
206346,Paulino Leitão,Companhia de Jesus,1555-06-06,1555-06-06,Artes,,Colégio de Jesus,,,,colegial do Colégio de Jesus
239139,Rui Pereira,Companhia de Jesus,1556-07-06,1557-07-31,Leis,,Colégio de Jesus,Vila Real,,,colegial do colégio de Jesus
251607,Sebastião de Morais,Companhia de Jesus,1555-07-06,1555-07-06,Artes,,Colégio de Jesus,,,,colegial do colégio de Jesus
246817,Joaquim António Minerno,Ordem,1797-10-12,1797-10-13,Matemática,frei,,Santarém,,,frei da Ordem
137685,André da Ressurreição,Ordem ?,1622-07-30,1622-07-30,Teologia,frei,,,,,frei da Ordem ?
248922,Brás Pires,Ordem Evangelho,1537-03-07,1537-03-07,Cânones,,,Vila Real,Diogo Afonso,sim,padre da Ordem do Evangelho
216648,Joaquim de Santa Ana Salvado,Ordem P. P. Paulistas,1802-10-18,1807-06-10,Teologia,frei,,"Redondo, Évora",Aleixo Nunes Salvado,,frei da Ordem dos P. P. Paulistas
238936,José Arsénio de Sousa,Ordem Paulistas,1805-10-31,1805-10-31,Teologia,frei,,Tavira,,,frei da Ordem dos Paulistas
147257,André da Anunciação,Ordem S. Franisco,1576-10-01,1578-05-31,Teologia,frei,,,,,frei da Ordem de S. Franisco
145726,Joaquim José do Amor Divino,Ordem S. Franisco,1791-10-22,1794-10-27,Teologia,frei,,Porto,António Correia,,frei da Ordem de São Franisco
146877,António,Ordem S. Franisco Claustrais,1551-02-11,1551-02-24,Artes,frei,,Porto,,,frei da Ordem de S. Franisco dos Claustrais
216926,Francisco de Santa Maria,Ordem Santo Iloi,1552-10-06,1560-00-00,Teologia,frei,,,,,frei da Ordem de Santo Iloi
217720,Manuel de Santo António,Ordem Santo Ilói,1552-10-00,1560-00-00,Teologia,,,Goujim,,sim,padre da Ordem de Santo Ilói
168127,Agostinho da Natavidade,Ordem Terceira,1632-00-00,1632-00-00,Teologia,frei,Colégio de S.Pedro da Ordem Terceira,,,sim,padre frei colégio dos padres de São Pedro
186633,André Botelho,Ordem Terceira,1632-00-00,1632-00-00,Teologia,frei,Colégio de S.Pedro da Ordem Terceira,,,sim,"padre frei, colégio dos padres de São Pedro"
192523,André de Jesus Maria,Ordem Terceira,1753-10-01,1759-12-20,Teologia,frei,,,,,frei religioso da Terceira Ordem
205853,Antonio Xavier Pacheco,Ordem Terceira,1794-10-09,1796-10-19,Matemática,frei,,Teixoso,,,frei religioso da 3ª Ordem
184908,António Alves Martins,Ordem Terceira,1827-10-19,1837-07-16,Teologia,frei,,Granja de Alijó,José Alves Martins,,frei religioso da 3ª Ordem da Penitência
180433,António Guadalupe,Ordem Terceira,1732-10-01,1736-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem
204937,António Pacheco,Ordem Terceira,1737-10-01,1738-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem da Penitência
176613,António das Onze Mil Virgens,Ordem Terceira,1740-10-01,1740-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem
192219,António de Jesus,Ordem Terceira,1632-00-00,1632-00-00,Teologia,frei,Colégio de S.Pedro da Ordem Terceira,,,sim,padre frei do colégio dos padres de São Pedro
172422,António de Nossa Senhora dos Martires,Ordem Terceira,1757-10-01,1757-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem
218522,António de São José,Ordem Terceira,1734-10-01,1737-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem da Penitência
218715,António de São Lourenço,Ordem Terceira,1632-00-00,1632-00-00,Teologia,frei,Colégio de S.Pedro da Ordem Terceira,,,sim,padre frei colégio dos padres de São Pedro
218922,António de São Tomás,Ordem Terceira,1731-12-12,1733-10-01,Teologia,frei,,,,sim,padre frei religioso da 3ª Ordem
196001,António do Coração de Jesus,Ordem Terceira,1755-10-01,1756-11-17,Teologia,frei,,,,,frei religioso da 3ª Ordem
209333,Bernardo Cardoso Cerqueira de Avezedo e Vasconcelos,Ordem Terceira,1779-10-26,1786-10-30,Teologia,frei,,Mesão Frio,,,frei da 3ª Ordem da Penitência
217674,Diogo de Santo António,Ordem Terceira,1632-00-00,1632-00-00,Teologia,frei,Colégio de S.Pedro da Ordem Terceira,,,sim,padre frei do colégio dos padres de São Pedro
218944,Domingos de São Tomás,Ordem Terceira,1682-10-01,1682-10-01,Teologia,frei,,,,,frei religioso da Ordem 3ª
137028,Domingos dos Reis,Ordem Terceira,1632-00-00,1632-00-00,Teologia,frei,Colégio de S.Pedro da Ordem Terceira,,,sim,padre frei colégio dos padres de São Pedro
218656,Francisco Vilaça,Ordem Terceira,1731-11-25,1733-11-08,Teologia,frei,,,,sim,padre frei religioso da 3ª Ordem
192544,Francisco de Jesus Maria,Ordem Terceira,1732-10-01,1734-10-01,Teologia,frei,,,,,frei religioso da Terceira Ordem
289738,Francisco de Nossa Senhora,Ordem Terceira,1789-06-05,1792-06-13,Teologia,frei,,Canavezes,António Ribeiro,,Frei da Terceira Ordem
131589,Francisco de Nossa Senhora Canavezes,Ordem Terceira,1788-10-11,1789-10-20,Teologia,frei,,Canavezinhos,,,frei religioso da 3ª Ordem
172443,Francisco de Nossa Senhora da Paz,Ordem Terceira,1753-10-01,1757-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem
172455,Francisco de Nossa Senhora do Socorro,Ordem Terceira,1755-10-01,1756-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem
218575,Francisco de São José,Ordem Terceira,1737-10-01,1737-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem da Penitência
182375,Francisco do Patrocínio Madeira,Ordem Terceira,1826-10-02,1846-10-06,Teologia,frei,,Lisboa,José Nunes Madeira,,frei religioso da 3ª Ordem da Penitência
207968,Gaspar da Cruz,Ordem Terceira,1644-02-26,1644-02-29,Teologia,frei,Colégio de S.Pedro da Ordem Terceira,,,sim,padre frei do colégio dos padres de São Pedro
218589,Ivo de São José,Ordem Terceira,1755-01-02,1758-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem
167390,Jerónimo Pedro de freitas,Ordem Terceira,1807-10-31,1813-10-30,Teologia,frei,,Amial,,,frei religioso da 3ª ordem
142057,Joaquim de Almada,Ordem Terceira,1780-11-13,1785-11-29,Teologia,frei,,,,,frei religioso da 3ª Ordem da Penitência
172406,Joaquim de Nossa Senhora de Guadalupe,Ordem Terceira,1746-10-01,1750-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem
277150,José Freire de Faria,Ordem Terceira,1784-10-30,1794-07-11,Teologia,frei,,Vila Cova de Alva,Manuel Martins Gomes,,frei Religioso da 3ª Ordem da Penitência
202609,José Joaquim Rebelo da Costa,Ordem Terceira,1797-10-09,1797-10-09,Matemática,frei,,Porto,,,frei da 3ª Ordem
151499,José Manuel Mena Barreto,Ordem Terceira,1795-10-07,1797-10-14,Matemática,frei,,Mirandela,,,frei religioso da 3ª Ordem
149386,José da Costa Azevedo,Ordem Terceira,1785-10-27,1785-10-27,Matemática,frei,,,,,frei religioso da 3ª Ordem
172446,José de Nossa Senhora Penha de França,Ordem Terceira,1755-10-01,1755-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem
172409,José de Nossa Senhora da Guia,Ordem Terceira,1755-10-01,1755-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem
186928,José de Santa Teresa de Jesus Botelho,Ordem Terceira,1740-10-01,1755-10-28,Teologia,frei,,,,,frei religioso da 3ª Ordem
167343,João Evangelista,Ordem Terceira,1734-10-01,1737-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem
251224,João Luís de Morais,Ordem Terceira,1826-10-06,1826-10-06,Matemática,frei,,"Paçó, Vinhais",,,frei religioso da 3ª Ordem da Penitência
154002,João da Fonseca,Ordem Terceira,1632-00-00,1632-00-00,Teologia,frei,Colégio de S.Pedro da Ordem Terceira,,,sim,padre frei Colégio dos Padres de São Pedro
171152,João da Mata,Ordem Terceira,1737-10-01,1738-10-30,Teologia,frei,,,,,frei religioso da 3ª Ordem da Peniência
172412,João de Nossa Senhora da Lembrança,Ordem Terceira,1734-10-01,1741-10-01,Teologia,frei,,,,sim,padre frei religioso da 3ª Ordem
218598,João de São José,Ordem Terceira,1692-10-01,1692-10-01,Teologia,frei,,,,sim,padre frei religioso da 3ª Ordem
202847,Luís José da Costa,Ordem Terceira,1783-10-31,1789-07-31,Teologia,frei,,Taboaço,Manuel da Costa Couto,,frei da 3ª Ordem dos Medicantes
217542,Luís Rafael do Santíssimo Sacramento,Ordem Terceira,1780-12-03,1785-10-31,Teologia,frei,,Madrid,,,"frei, religioso da Terceira Ordem da Penitência"
163690,Luís Ribeiro Guimarães Dracha,Ordem Terceira,1823-11-22,1830-07-27,Teologia,frei,,Sardoal,José Ribeiro Guimarães,,frei religioso da 3ª Ordem de Penitência
240343,Luís de Sousa,Ordem Terceira,1758-10-01,1758-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem
165383,Manuel da Encarnação,Ordem Terceira,1747-10-01,1755-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem da Província dos Algarves
192576,Manuel de Jesus Maria,Ordem Terceira,1724-10-01,1738-10-01,Teologia,frei,,,,,frei religioso da Terceira Ordem
172429,Manuel de Nossa Senhora da Nazaré,Ordem Terceira,1748-10-01,1750-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem
216761,Manuel de Santa Clara,Ordem Terceira,1734-10-10,1736-10-01,Teologia,frei,,,,sim,padre frei religioso da 3ª Ordem da Penitência
218354,Manuel de São Jerónimo,Ordem Terceira,1737-10-01,1738-10-30,Teologia,frei,,,,,frei religioso da 3ª Ordem da Penitência
218670,Manuel de São José,Ordem Terceira,1737-10-01,1740-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem da Penitência
218672,Manuel de São José,Ordem Terceira,1632-00-00,1632-00-00,Teologia,frei,Colégio de S.Pedro da Ordem Terceira,,,sim,padre frei do colégio dos padres de São Pedro
218743,Manuel de São Luís,Ordem Terceira,1632-00-00,1632-00-00,Teologia,frei,Colégio de S.Pedro da Ordem Terceira,,,sim,padre frei do colégio dos padres de São Pedro
147062,Miguel da Anunciação,Ordem Terceira,1740-10-01,1740-10-01,Teologia,frei,,,,,frei religioso da 3ª Ordem
164012,Miguel da Conceição Franco,Ordem Terceira,1780-11-22,1782-06-10,Teologia,frei,,,,,frei religioso da 3ª Ordem da Penitência
150064,Paulo de São João Batista,Ordem Terceira,1785-01-13,1786-06-21,Teologia,frei,,,,,frei religioso da 3ª Ordem
194858,Pedro José,Ordem Terceira,1725-10-01,1733-05-10,Teologia,frei,,Coimbra,,sim,"padre, frei, religioso da Terceira Ordem"
205741,Pedro da Trindade,Ordem Terceira,1737-10-01,1742-07-23,Teologia,frei,,,,sim,padre frei religioso da 3ª Ordem
