pop,date_in,date_max,name,name_normalized,id_ine_inspire,geonamesid,context_0,context_1,context_2,context_3,country,gaz_id_explicit,latitude,longitude,code,dsg,level,inside,address,geonames_name,gazetteer,total_score,date,wikidata_id
8784,1537-02-12,1916-07-19,Lisboa,Lisboa,PT.GN.104409,2267057,Lisboa,,,,Portugal,,38.71667,-9.13333,PRT.12.7.53_1,Socorro,3.0,PRT.12.7_1,"Lisboa, Socorro, Lisboa, Lisboa",Lisboa,geonames-pt,20.0,2024-11-10 14:52:29.214201,Q597
5526,1537-00-00,1915-10-12,Coimbra,Coimbra,PT.GN.98266,2740637,Coimbra,,,,Portugal,,40.20564,-8.41955,PRT.7.3.15_1,Coimbra (Sé Nova),3.0,PRT.7.3_1,"Coimbra, Coimbra (Sé Nova), Coimbra, Coimbra",Coimbra,geonames-pt,20.0,2024-11-10 14:52:29.237934,Q3348861
3391,1537-05-30,1917-10-22,Porto,Porto,,2735943,Porto,,,,Portugal,,41.14961,-8.61099,PRT.15.12.12_1,Santo Ildefonso,3.0,PRT.15.12_1,"Porto, Santo Ildefonso, Porto, Porto",Porto,geonames-pt,20.0,2024-11-10 14:52:29.238834,Q33707919
1608,1540-01-21,1914-07-24,Braga,Braga,PT.GN.89788,2742032,Braga,,,,Portugal,,41.55032,-8.42005,PRT.4.3.8_1,Braga (São José de São Lázaro),3.0,PRT.4.3_1,"Braga, Braga (São José de São Lázaro), Braga, Braga",Braga,geonames-pt,20.0,2024-11-10 14:52:29.239736,Q3344946
1072,1537-11-22,1910-10-10,Évora,Évora,,2268406,Évora,,,,Portugal,,38.56667,-7.9,PRT.8.5.18_1,Senhora da Saúde,3.0,PRT.8.5_1,"Évora, Senhora da Saúde, Évora, Évora",Évora,geonames-pt,20.0,2024-11-10 14:52:29.240641,Q3349362
986,1537-00-00,1912-07-03,Viseu,Viseu,,2732265,Viseu,,,,Portugal,,40.66101,-7.90971,PRT.20.23.34_1,Viseu (São José),3.0,PRT.20.23_1,"Viseu, Viseu (São José), Viseu, Viseu",Viseu,geonames-pt,20.0,2024-11-10 14:52:29.241547,Q49278409
980,1537-12-18,1912-07-18,Guimarães,Guimarães,,2738752,Guimarães,,,,Portugal,,41.44443,-8.29619,PRT.4.8.34_1,Guimarães (São Paio),3.0,PRT.4.8_1,"Guimarães, Guimarães (São Paio), Guimarães, Braga",Guimarães,geonames-pt,15.0,2024-11-10 14:52:30.361623,Q49283743
972,1537-00-00,1909-10-05,Lamego,Lamego,,2738459,Lamego,,,,Portugal,,41.09741,-7.80991,PRT.20.5.10_1,Lamego (Almacave),3.0,PRT.20.5_1,"Lamego, Lamego (Almacave), Lamego, Viseu",Lamego,geonames-pt,15.0,2024-11-10 14:52:30.362559,Q49285330
790,1538-04-21,1913-10-13,Aveiro,Aveiro,,2742611,Aveiro,,,,Portugal,,40.64427,-8.64554,PRT.1.5.14_1,Vera Cruz,3.0,PRT.1.5_1,"Aveiro, Vera Cruz, Aveiro, Aveiro",Aveiro,geonames-pt,20.0,2024-11-10 14:52:29.242455,Q485581
765,1537-03-07,1909-11-09,Vila Real,Vila Real,,2732438,Vila Real,,,,Portugal,,41.30062,-7.74413,PRT.19.14.29_1,Vila Real (São Pedro),3.0,PRT.19.14_1,"Vila Real, Vila Real (São Pedro), Vila Real, Vila Real",Vila Real,geonames-pt,20.0,2024-11-10 14:52:29.243403,Q49278400
728,1537-01-29,1909-10-04,Santarém,Santarém,,2263480,Santarém,,,,Portugal,,39.23333,-8.68333,PRT.16.17.20_1,Santarém (Marvila),3.0,PRT.16.17_1,"Santarém, Santarém (Marvila), Santarém, Santarém",Santarém,geonames-pt,20.0,2024-11-10 14:52:29.244308,Q863744
668,1537-00-00,1910-10-15,Leiria,Leiria,,2267095,Leiria,,,,Portugal,,39.74362,-8.80705,PRT.11.9.16_1,Leiria,3.0,PRT.11.9_1,"Leiria, Leiria, Leiria, Leiria",Leiria,geonames-pt,25.0,2024-11-10 14:52:29.155218,Q3348464
569,1537-01-16,1890-10-16,Ilha da Madeira,"Funchal (Sé), Funchal (Sé), Funchal, Madeira",,8014027,Funchal (Sé),Funchal (Sé),Funchal,Madeira,Portugal,,32.64685,-16.9123,PRT.13.3.4_1,Funchal (Sé),3.0,PRT.13.3_1,"Funchal (Sé), Funchal (Sé), Funchal, Madeira",Funchal (Sé),geonames-pt,35.0,2024-11-10 14:52:29.064405,Q2190091
542,1538-10-18,1912-10-12,Portalegre,Portalegre,,2264508,Portalegre,,,,Portugal,,39.29379,-7.43122,PRT.14.14.8_1,São Lourenço,3.0,PRT.14.14_1,"Portalegre, São Lourenço, Portalegre, Portalegre",Portalegre,geonames-pt,20.0,2024-11-10 14:52:29.245298,Q49278076
538,1537-12-18,1910-10-13,Castelo Branco,Castelo Branco,,2269514,Castelo Branco,,,,Portugal,,39.82219,-7.49087,PRT.6.2.5_1,Castelo Branco,3.0,PRT.6.2_1,"Castelo Branco, Castelo Branco, Castelo Branco, Castelo Branco",Castelo Branco,geonames-pt,25.0,2024-11-10 14:52:29.156119,Q12899232
531,1537-01-18,1912-06-17,Tomar,Tomar,,2262644,Tomar,,,,Portugal,,39.60199,-8.40924,PRT.16.19.13_1,Santa Maria dos Olivais,3.0,PRT.16.19_1,"Tomar, Santa Maria dos Olivais, Tomar, Santarém",Tomar,geonames-pt,15.0,2024-11-10 14:52:30.363711,Q622817
527,1538-00-00,1912-06-26,Barcelos,Barcelos,,2742416,Barcelos,,,,Portugal,,41.53174,-8.61843,PRT.4.2.16_1,Barcelos,3.0,PRT.4.2_1,"Barcelos, Barcelos, Barcelos, Braga",Barcelos,geonames-pt,20.0,2024-11-10 14:52:29.262504,Q31910871
500,1537-12-18,1909-10-14,Beja,Beja,,2270985,Beja,,,,Portugal,,38.01506,-7.86323,PRT.3.5.4_1,Beja (Santa Maria da Feira),3.0,PRT.3.5_1,"Beja, Beja (Santa Maria da Feira), Beja, Beja",Beja,geonames-pt,20.0,2024-11-10 14:52:29.246318,Q3344424
495,1593-10-01,1892-10-28,"Baía, Brasil","Salvador, Brasil",,3450554,Salvador,,,,Brasil,,-12.97111,-38.51083,2927408,Salvador,3.0,BRA.5_1,"Salvador, Salvador, Bahia, Brasil",Salvador,geonames-br,15.0,2024-11-10 14:52:30.337979,Q32148682
494,1555-10-00,1844-10-19,Viana,Viana do Castelo,,2732773,Viana do Castelo,,,,Portugal,,41.69323,-8.83287,PRT.18.9.34_1,Viana do Castelo (Monserrate),3.0,PRT.18.9_1,"Viana do Castelo, Viana do Castelo (Monserrate), Viana do Castelo, Viana do Castelo",Viana do Castelo,geonames-pt,20.0,2024-11-10 14:52:29.247286,Q49278394
475,1538-10-11,1913-10-13,Guarda,Guarda,,2738785,Guarda,,,,Portugal,,40.53733,-7.26575,PRT.10.7.23_1,Guarda (Sé),3.0,PRT.10.7_1,"Guarda, Guarda (Sé), Guarda, Guarda",Guarda,geonames-pt,20.0,2024-11-10 14:52:29.251324,Q750594
448,1537-12-28,1909-10-09,Elvas,Elvas,,2268615,Elvas,,,,Portugal,,38.8815,-7.16282,PRT.14.7.2_1,Alcáçova,3.0,PRT.14.7_1,"Elvas, Alcáçova, Elvas, Portalegre",Elvas,geonames-pt,15.0,2024-11-10 14:52:30.364700,Q49282865
430,1538-11-22,1910-10-15,Abrantes,Abrantes,,2272447,Abrantes,,,,Portugal,,39.46667,-8.2,PRT.16.1.2_1,Abrantes (São Vicente),3.0,PRT.16.1_1,"Abrantes, Abrantes (São Vicente), Abrantes, Santarém",Abrantes,geonames-pt,15.0,2024-11-10 14:52:30.365792,Q331191
426,1540-00-00,1910-10-11,Montemor-o-Velho,Montemor-o-Velho,,2737437,Montemor-o-Velho,,,,Portugal,,40.17287,-8.68616,PRT.7.10.8_1,Montemor-o-Velho,3.0,PRT.7.10_1,"Montemor-o-Velho, Montemor-o-Velho, Montemor-o-Velho, Coimbra",Montemor-o-Velho,geonames-pt,20.0,2024-11-10 14:52:29.263598,Q45815
425,1537-12-18,1905-10-03,Setúbal,Setúbal,,2262963,Setúbal,,,,Portugal,,38.5244,-8.8882,PRT.17.12.6_1,Setúbal (Santa Maria da Graça),3.0,PRT.17.12_1,"Setúbal, Setúbal (Santa Maria da Graça), Setúbal, Setúbal",Setúbal,geonames-pt,20.0,2024-11-10 14:52:29.252252,*notfound*
415,1608-10-08,1908-10-03,"Rio de Janeiro, Brasil","Rio de Janeiro, Brasil",,3451190,Rio de Janeiro,,,,Brasil,,-22.90642,-43.18223,3304557,Rio de Janeiro,3.0,BRA.19_1,"Rio de Janeiro, Rio de Janeiro, Rio de Janeiro, Brasil",Rio de Janeiro,geonames-br,20.0,2024-11-10 14:52:29.217853,*notfound*
397,1537-04-29,1912-11-06,Ponte de Lima,Ponte de Lima,,2736041,Ponte de Lima,,,,Portugal,,41.76719,-8.58393,PRT.18.7.35_1,Ponte de Lima,3.0,PRT.18.7_1,"Ponte de Lima, Ponte de Lima, Ponte de Lima, Viana do Castelo",Ponte de Lima,geonames-pt,20.0,2024-11-10 14:52:29.264524,Q49288127
393,1538-10-16,1912-08-01,Covilhã,Covilhã,,8010474,Covilhã,,,,Portugal,,40.29227,-7.50366,PRT.6.3.6_1,Cantar-Galo,3.0,PRT.6.3_1,"Covilhã, Cantar-Galo, Covilhã, Castelo Branco",Covilhã,geonames-pt,15.0,2024-11-10 14:52:30.481178,Q849026
391,1570-10-01,1893-10-21,Baía,"Salvador, Brasil",,3450554,Salvador,,,,Brasil,,-12.97111,-38.51083,2927408,Salvador,3.0,BRA.5_1,"Salvador, Salvador, Bahia, Brasil",Salvador,geonames-br,15.0,2024-11-10 14:52:30.338911,Q32148682
376,1538-05-26,1912-07-29,Bragança,Bragança,,2742027,Bragança,,,,Portugal,,41.80582,-6.75719,PRT.5.2.6_1,Bragança (Sé),3.0,PRT.5.2_1,"Bragança, Bragança (Sé), Bragança, Bragança",Bragança,geonames-pt,20.0,2024-11-10 14:52:29.253178,Q768261
360,1537-00-00,1913-07-16,Torres Novas,Torres Novas,,2262582,Torres Novas,,,,Portugal,,39.47581,-8.54348,PRT.16.20.14_1,Torres Novas (Santa Maria),3.0,PRT.16.20_1,"Torres Novas, Torres Novas (Santa Maria), Torres Novas, Santarém",Torres Novas,geonames-pt,15.0,2024-11-10 14:52:30.366736,Q49291719
359,1549-00-00,1913-07-19,Soure,Soure,,2733851,Soure,,,,Portugal,,40.05989,-8.62605,PRT.7.15.9_1,Soure,3.0,PRT.7.15_1,"Soure, Soure, Soure, Coimbra",Soure,geonames-pt,20.0,2024-11-10 14:52:29.266355,Q543993
343,1549-00-00,1912-07-25,Faro,Faro,,2268339,Faro,,,,Portugal,,37.01869,-7.92716,PRT.9.5.4_1,Faro (Sé),3.0,PRT.9.5_1,"Faro, Faro (Sé), Faro, Faro",Faro,geonames-pt,20.0,2024-11-10 14:52:29.254107,Q159457
330,1537-09-22,1911-08-15,Amarante,Amarante,,2742965,Amarante,,,,Portugal,,41.27271,-8.08245,PRT.15.1.3_1,Amarante (São Gonçalo),3.0,PRT.15.1_1,"Amarante, Amarante (São Gonçalo), Amarante, Porto",Amarante,geonames-pt,15.0,2024-11-10 14:52:30.367677,Q31880915
312,1538-07-11,1909-11-18,Chaves,Chaves,,2740761,Chaves,,,,Portugal,,41.74019,-7.46879,PRT.19.3.31_1,Santa Maria Maior,3.0,PRT.19.3_1,"Chaves, Santa Maria Maior, Chaves, Vila Real",Chaves,geonames-pt,15.0,2024-11-10 14:52:30.368607,Q49281908
305,1552-10-00,1912-06-24,Águeda,Águeda,,2743292,Águeda,,,,Portugal,,40.5772,-8.44442,PRT.1.1.4_1,Águeda,3.0,PRT.1.1_1,"Águeda, Águeda, Águeda, Aveiro",Águeda,geonames-pt,20.0,2024-11-10 14:52:29.267255,Q249906
296,1558-10-01,1910-10-24,Rio de Janeiro,"Rio de Janeiro, Brasil",,3451190,Rio de Janeiro,,,,Brasil,,-22.90642,-43.18223,3304557,Rio de Janeiro,3.0,BRA.19_1,"Rio de Janeiro, Rio de Janeiro, Rio de Janeiro, Brasil",Rio de Janeiro,geonames-br,20.0,2024-11-10 14:52:29.218758,*notfound*
296,1537-12-18,1912-07-12,Vila do Conde,Vila do Conde,,2732649,Vila do Conde,,,,Portugal,,41.35326,-8.74516,PRT.15.17.28_1,Vila do Conde,3.0,PRT.15.17_1,"Vila do Conde, Vila do Conde, Vila do Conde, Porto",Vila do Conde,geonames-pt,20.0,2024-11-10 14:52:29.268158,Q917313
294,1537-02-19,1899-10-12,Castelo de Vide,Castelo de Vide,,6930628,Castelo de Vide,,,,Portugal,,39.43336,-7.51465,PRT.14.5.3_1,Santiago Maior,3.0,PRT.14.5_1,"Castelo de Vide, Santiago Maior, Castelo de Vide, Portalegre",Castelo de Vide,geonames-pt,15.0,2024-11-10 14:52:30.483131,Q1000037
288,1551-02-12,1913-07-12,Estremoz,Estremoz,,2268411,Estremoz,,,,Portugal,,38.84432,-7.58585,PRT.8.4.3_1,Estremoz (Santo André),3.0,PRT.8.4_1,"Estremoz, Estremoz (Santo André), Estremoz, Évora",Estremoz,geonames-pt,15.0,2024-11-10 14:52:30.369543,Q49282912
288,1537-12-18,1908-10-02,Vila Viçosa,Vila Viçosa,,2261577,Vila Viçosa,,,,Portugal,,38.7777,-7.41793,PRT.8.14.5_1,Vila Viçosa (São Bartolomeu),3.0,PRT.8.14_1,"Vila Viçosa, Vila Viçosa (São Bartolomeu), Vila Viçosa, Évora",Vila Viçosa,geonames-pt,15.0,2024-11-10 14:52:30.370470,Q49292319
276,1551-12-11,1908-10-13,Lousã,Lousã,,8011840,Lousã,,,,Portugal,,40.10344,-8.24503,PRT.7.7.4_1,Lousã,3.0,PRT.7.7_1,"Lousã, Lousã, Lousã, Coimbra",Lousã,geonames-pt,20.0,2024-11-10 14:52:29.526794,Q2451169
269,1540-01-16,1907-12-10,Trancoso,Trancoso,,2733439,Trancoso,,,,Portugal,,40.78329,-7.35016,PRT.10.13.23_1,Trancoso (Santa Maria),3.0,PRT.10.13_1,"Trancoso, Trancoso (Santa Maria), Trancoso, Guarda",Trancoso,geonames-pt,15.0,2024-11-10 14:52:30.371408,*notfound*
265,1540-01-13,1909-10-15,Tentúgal,Tentúgal,,8011859,Tentúgal,,,,Portugal,,40.23683,-8.59381,PRT.7.10.12_1,Tentúgal,3.0,PRT.7.10_1,"Tentúgal, Tentúgal, Montemor-o-Velho, Coimbra",Tentúgal,geonames-pt,15.0,2024-11-10 14:52:30.522124,Q2119651
248,1581-11-07,1905-10-07,Arcos de Valdevez,Arcos de Valdevez,,8010627,Arcos de Valdevez,,,,Portugal,,41.87348,-8.42624,PRT.18.1.17_1,Gondoriz,3.0,PRT.18.1_1,"Arcos de Valdevez, Gondoriz, Arcos de Valdevez, Viana do Castelo",Arcos de Valdevez,geonames-pt,15.0,2024-11-10 14:52:30.485019,Q490302
248,1538-11-22,1903-10-03,Moura,Moura,,2265686,Moura,,,,Portugal,,38.1401,-7.44856,PRT.3.10.2_1,Moura (Santo Agostinho),3.0,PRT.3.10_1,"Moura, Moura (Santo Agostinho), Moura, Beja",Moura,geonames-pt,15.0,2024-11-10 14:52:30.372337,Q551662
243,1537-02-21,1878-10-15,Ourém,Ourém,,2265388,Ourém,,,,Portugal,,39.64167,-8.5919,PRT.16.14.13_1,Nossa Senhora das Misericórdias,3.0,PRT.16.14_1,"Ourém, Nossa Senhora das Misericórdias, Ourém, Santarém",Ourém,geonames-pt,15.0,2024-11-10 14:52:30.373264,Q49287774
241,1561-11-01,1909-10-02,Sertã,Sertã,,2262987,Sertã,,,,Portugal,,39.80205,-8.09589,PRT.6.9.12_1,Sertã,3.0,PRT.6.9_1,"Sertã, Sertã, Sertã, Castelo Branco",Sertã,geonames-pt,20.0,2024-11-10 14:52:29.269080,Q193402
240,1538-01-11,1913-08-09,Pombal,Pombal,,2264575,Pombal,,,,Portugal,,39.91674,-8.62847,PRT.11.15.12_1,Pombal,3.0,PRT.11.15_1,"Pombal, Pombal, Pombal, Leiria",Pombal,geonames-pt,20.0,2024-11-10 14:52:29.269978,Q49288119
236,1538-10-01,1912-06-19,Serpa,Serpa,,2263049,Serpa,,,,Portugal,,37.94581,-7.59754,PRT.3.13.5_1,Serpa (Santa Maria),3.0,PRT.3.13_1,"Serpa, Serpa (Santa Maria), Serpa, Beja",Serpa,geonames-pt,15.0,2024-11-10 14:52:30.375128,Q49289417
235,1537-00-00,1910-10-11,Montemor-o-Novo,Montemor-o-Novo,,2265888,Montemor-o-Novo,,,,Portugal,,38.64812,-8.21455,PRT.8.6.7_1,Nossa Senhora do Bispo,3.0,PRT.8.6_1,"Montemor-o-Novo, Nossa Senhora do Bispo, Montemor-o-Novo, Évora",Montemor-o-Novo,geonames-pt,15.0,2024-11-10 14:52:30.376069,Q49286908
229,1538-00-00,1910-10-10,Pinhel,Pinhel,,2736183,Pinhel,,,,Portugal,,40.77403,-7.06675,PRT.10.10.17_1,Pinhel,3.0,PRT.10.10_1,"Pinhel, Pinhel, Pinhel, Guarda",Pinhel,geonames-pt,20.0,2024-11-10 14:52:29.270970,*notfound*
226,1551-10-00,1842-10-05,Basto,Basto,,8011092,Basto,,,,Portugal,,41.47827,-7.9875,PRT.4.4.4_1,Basto,3.0,PRT.4.4_1,"Basto, Basto, Cabeceiras de Basto, Braga",Basto,geonames-pt,15.0,2024-11-10 14:52:30.523064,Q810664
226,1540-07-06,1909-10-12,Cantanhede,Cantanhede,,2741547,Cantanhede,,,,Portugal,,40.34671,-8.59419,PRT.7.2.5_1,Cantanhede,3.0,PRT.7.2_1,"Cantanhede, Cantanhede, Cantanhede, Coimbra",Cantanhede,geonames-pt,20.0,2024-11-10 14:52:29.272131,Q49281726
221,1537-00-00,1909-10-12,Penela,Penela,,2736429,Penela,,,,Portugal,,40.03333,-8.38333,PRT.7.14.4_1,Penela (São Miguel),3.0,PRT.7.14_1,"Penela, Penela (São Miguel), Penela, Coimbra",Penela,geonames-pt,15.0,2024-11-10 14:52:30.377007,Q576924
212,1537-12-18,1909-10-26,Viana do Castelo,Viana do Castelo,,2732773,Viana do Castelo,,,,Portugal,,41.69323,-8.83287,PRT.18.9.34_1,Viana do Castelo (Monserrate),3.0,PRT.18.9_1,"Viana do Castelo, Viana do Castelo (Monserrate), Viana do Castelo, Viana do Castelo",Viana do Castelo,geonames-pt,20.0,2024-11-10 14:52:29.248440,Q49278394
209,1538-00-00,1913-10-20,Tavira,Tavira,,2262744,Tavira,,,,Portugal,,37.12734,-7.64861,PRT.9.14.8_1,Tavira (Santa Maria),3.0,PRT.9.14_1,"Tavira, Tavira (Santa Maria), Tavira, Faro",Tavira,geonames-pt,15.0,2024-11-10 14:52:30.377936,Q372840
207,1540-01-31,1908-10-08,Gouveia,Gouveia,,2738888,Gouveia,,,,Portugal,,40.50829,-7.5905,PRT.10.6.8_1,Gouveia (São Pedro),3.0,PRT.10.6_1,"Gouveia, Gouveia (São Pedro), Gouveia, Guarda",Gouveia,geonames-pt,15.0,2024-11-10 14:52:30.486962,Q599317
206,1576-03-10,1908-10-15,Espinhal,Espinhal,,8011883,Espinhal,,,,Portugal,,39.99874,-8.31611,PRT.7.14.2_1,Espinhal,3.0,PRT.7.14_1,"Espinhal, Espinhal, Penela, Coimbra",Espinhal,geonames-pt,15.0,2024-11-10 14:52:30.524010,Q33806630
203,1588-11-21,1912-07-08,Ovar,Ovar,,8010833,Ovar,,,,Portugal,,40.84542,-8.64966,PRT.1.14.5_1,Ovar,3.0,PRT.1.14_1,"Ovar, Ovar, Ovar, Aveiro",Ovar,geonames-pt,20.0,2024-11-10 14:52:29.527689,Q2258976
203,1540-10-13,1876-10-15,Torre de Moncorvo,Torre de Moncorvo,,2733488,Torre de Moncorvo,,,,Portugal,,41.17454,-7.05364,PRT.5.9.16_1,Torre de Moncorvo,3.0,PRT.5.9_1,"Torre de Moncorvo, Torre de Moncorvo, Torre de Moncorvo, Bragança",Torre de Moncorvo,geonames-pt,20.0,2024-11-10 14:52:29.273273,*notfound*
202,1540-10-20,1770-10-01,Arrifana de Sousa,Penafiel,,2736469,Penafiel,,,,Portugal,,41.20835,-8.28285,PRT.15.11.24_1,Penafiel,3.0,PRT.15.11_1,"Penafiel, Penafiel, Penafiel, Porto",Penafiel,geonames-pt,20.0,2024-11-10 14:52:29.276160,Q49287885
201,1538-04-19,1895-10-28,Torres Vedras,Torres Vedras,,2262581,Torres Vedras,,,,Portugal,,39.09109,-9.2586,PRT.12.15.18_1,Torres Vedras (São Pedro e São T,3.0,PRT.12.15_1,"Torres Vedras, Torres Vedras (São Pedro e São T, Torres Vedras, Lisboa",Torres Vedras,geonames-pt,15.0,2024-11-10 14:52:30.378880,Q49291720
197,1540-07-07,1909-10-05,São Pedro do Sul,São Pedro do Sul,,8014854,São Pedro do Sul,,,,Portugal,,40.76131,-8.05308,PRT.20.16.14_1,São Pedro do Sul,3.0,PRT.20.16_1,"São Pedro do Sul, São Pedro do Sul, São Pedro do Sul, Viseu",São Pedro do Sul,geonames-pt,20.0,2024-11-10 14:52:29.528654,Q2450382
193,1538-05-07,1906-10-01,Alcobaça,Alcobaça,,2272147,Alcobaça,,,,Portugal,,39.55223,-8.97749,PRT.11.1.1_1,Alcobaça,3.0,PRT.11.1_1,"Alcobaça, Alcobaça, Alcobaça, Leiria",Alcobaça,geonames-pt,20.0,2024-11-10 14:52:29.279981,Q3344440
187,1538-00-00,1888-12-03,Ilha de São Miguel,Ponta Delgada,INE-A26-02719,6941014,Ponta Delgada,,,,Portugal,,37.73952,-25.66874,PRT.2.10.15_1,Ponta Delgada (São Sebastião),3.0,PRT.2.10_1,"Ponta Delgada, Ponta Delgada (São Sebastião), Ponta Delgada, Azores",Ponta Delgada,geonames-pt,15.0,2024-11-10 14:52:30.345421,Q49278070
184,1549-01-01,1907-10-01,Sardoal,Sardoal,,8010610,Sardoal,,,,Portugal,,39.55643,-8.14323,PRT.16.18.3_1,Sardoal,3.0,PRT.16.18_1,"Sardoal, Sardoal, Sardoal, Santarém",Sardoal,geonames-pt,20.0,2024-11-10 14:52:29.507521,Q635165
182,1537-10-01,1903-10-07,Óbidos,Óbidos,,2265485,Óbidos,,,,Portugal,,39.36055,-9.1567,PRT.11.12.5_1,Óbidos (São Pedro),3.0,PRT.11.12_1,"Óbidos, Óbidos (São Pedro), Óbidos, Leiria",Óbidos,geonames-pt,15.0,2024-11-10 14:52:30.381076,Q49294872
