value,normalizado
Lisboa,Lisboa
Coimbra,Coimbra
Porto,Porto
Braga,Braga
Évora,Évora
Viseu,Viseu
Guimarães,Guimarães
Lamego,Lamego
Aveiro,Aveiro
Vila Real,Vila Real
Santarém,Santarém
Leiria,Leiria
Ilha da Madeira,Ilha da Madeira
Portalegre,Portalegre
Castelo Branco,Castelo Branco
Tomar,Tomar
Barcelos,Barcelos
Beja,Beja
"Baía, Brasil","Baía, Brasil"
Viana,Viana
Guarda,Guarda
Elvas,Elvas
Abrantes,Abrantes
Montemor-o-Velho,Montemor-o-Velho
Setúbal,Setúbal
"Rio de Janeiro, Brasil","Rio de Janeiro, Brasil"
Ponte de Lima,Ponte de Lima
Covilhã,Covilhã
Baía,Baía
Bragança,Bragança
Torres Novas,Torres Novas
Soure,Soure
Faro,Faro
Amarante,Amarante
Chaves,Chaves
Águeda,Águeda
Rio de Janeiro,Rio de Janeiro
Vila do Conde,Vila do Conde
Castelo de Vide,Castelo de Vide
Estremoz,Estremoz
Vila Viçosa,Vila Viçosa
Lousã,Lousã
Trancoso,Trancoso
Tentúgal,Tentúgal
Arcos de Valdevez,Arcos de Valdevez
Moura,Moura
Ourém,Ourém
Sertã,Sertã
Pombal,Pombal
Serpa,Serpa
Montemor-o-Novo,Montemor-o-Novo
Pinhel,Pinhel
Basto,Basto
Cantanhede,Cantanhede
Penela,Penela
Viana do Castelo,Viana do Castelo
Tavira,Tavira
Gouveia,Gouveia
Espinhal,Espinhal
Ovar,Ovar
Torre de Moncorvo,Torre de Moncorvo
Arrifana de Sousa,Arrifana de Sousa
Torres Vedras,Torres Vedras
São Pedro do Sul,São Pedro do Sul
Alcobaça,Alcobaça
Ilha de São Miguel,Ilha de São Miguel
Sardoal,Sardoal
Óbidos,Óbidos
Monção,Monção
Campo Maior,Campo Maior
Ansião,Ansião
Miranda do Corvo,Miranda do Corvo
Nisa,Nisa
Pereira,Pereira
Buarcos,Buarcos
Fundão,Fundão
Arganil,Arganil
Góis,Góis
Penamacor,Penamacor
Eiras,Eiras
Condeixa-a-Nova,Condeixa-a-Nova
Figueira da Foz,Figueira da Foz
Caminha,Caminha
Lagos,Lagos
Alenquer,Alenquer
Alpedrinha,Alpedrinha
Arouca,Arouca
Tondela,Tondela
Seia,Seia
Ançã,Ançã
Figueiró dos Vinhos,Figueiró dos Vinhos
Pernambuco,Pernambuco
Santa Comba Dão,Santa Comba Dão
Vouzela,Vouzela
Condeixa,Condeixa
Poiares,Poiares
Redinha,Redinha
Olivença,Olivença
Chamusca,Chamusca
Mortágua,Mortágua
Penacova,Penacova
Fronteira,Fronteira
Porto de Mós,Porto de Mós
Borba,Borba
Linhares,Linhares
"Pernambuco, Brasil","Pernambuco, Brasil"
Verride,Verride
Celorico,Celorico
Maiorca,Maiorca
Idanha-a-Nova,Idanha-a-Nova
Loulé,Loulé
Ilha Terceira,Ilha Terceira
Besteiros,Besteiros
Peso da Régua,Peso da Régua
"Punhete, hoje Constância","Punhete, hoje Constância"
Beco,Beco
"Ilha de São Miguel, Açores","Ilha de São Miguel, Açores"
Manteigas,Manteigas
São João da Pesqueira,São João da Pesqueira
Arraiolos,Arraiolos
Melo,Melo
Funchal,Funchal
Taveiro,Taveiro
Valença do Minho,Valença do Minho
Ponte da Barca,Ponte da Barca
Alvaiázere,Alvaiázere
São Martinho do Bispo,São Martinho do Bispo
Vila Nova de Cerveira,Vila Nova de Cerveira
Vila Nova de Gaia,Vila Nova de Gaia
Mirandela,Mirandela
Pedrogão Grande,Pedrogão Grande
Terra da Feira,Terra da Feira
Cernache,Cernache
Crato,Crato
Mesão Frio,Mesão Frio
Golegã,Golegã
Vila Nova de Anços,Vila Nova de Anços
Almeida,Almeida
Resende,Resende
Lorvão,Lorvão
Monforte,Monforte
Avis,Avis
Fonte Arcada,Fonte Arcada
Lobão,Lobão
Esgueira,Esgueira
Vila Nova de Foz Côa,Vila Nova de Foz Côa
Ílhavo,Ílhavo
Bemposta,Bemposta
Matosinhos,Matosinhos
Penafiel,Penafiel
Tancos,Tancos
Penalva,Penalva
Mangualde,Mangualde
Viana do Alentejo,Viana do Alentejo
Arrancada,Arrancada
Formoselha,Formoselha
Peniche,Peniche
Celorico da Beira,Celorico da Beira
Miranda do Douro,Miranda do Douro
Mogadouro,Mogadouro
Oliveira de Azeméis,Oliveira de Azeméis
Feira,Feira
Portel,Portel
Moimenta da Beira,Moimenta da Beira
Pocariça,Pocariça
Alcácer do Sal,Alcácer do Sal
Vila Nova de Portimão,Vila Nova de Portimão
Vila da Feira,Vila da Feira
Mação,Mação
Santa Marinha,Santa Marinha
Alvito,Alvito
Benavente,Benavente
Coura,Coura
Ponta Delgada,Ponta Delgada
Celas,Celas
Midões,Midões
Marvão,Marvão
Oliveira do Hospital,Oliveira do Hospital
Pedrogão,Pedrogão
Vila Franca de Xira,Vila Franca de Xira
Batalha,Batalha
Caldas da Rainha,Caldas da Rainha
Coruche,Coruche
Aljubarrota,Aljubarrota
Anadia,Anadia
Coja,Coja
Mondim de Basto,Mondim de Basto
Barca,Barca
Melgaço,Melgaço
São João de Areias,São João de Areias
Carapinheira,Carapinheira
Folques,Folques
Louriçal,Louriçal
Penaguião,Penaguião
Vidigueira,Vidigueira
Botão,Botão
Cabeceiras de Basto,Cabeceiras de Basto
Entre Ambos-os-Rios,Entre Ambos-os-Rios
Travanca,Travanca
Vila Flor,Vila Flor
Alter do Chão,Alter do Chão
São Miguel do Outeiro,São Miguel do Outeiro
Felgueiras,Felgueiras
Palmela,Palmela
Sabugosa,Sabugosa
São Romão,São Romão
Valongo,Valongo
Arcos,Arcos
Irlanda,Irlanda
Lourosa,Lourosa
Sernancelhe,Sernancelhe
Valezim,Valezim
Baião,Baião
Freixo de Espada à Cinta,Freixo de Espada à Cinta
Oliveira do Conde,Oliveira do Conde
Pombeiro,Pombeiro
São Martinho de Salreu,São Martinho de Salreu
Veiros,Veiros
Azurara,Azurara
Moimenta da Serra,Moimenta da Serra
Provesende,Provesende
Alvorge,Alvorge
Canas de Senhorim,Canas de Senhorim
Sintra,Sintra
São Martinho de Mouros,São Martinho de Mouros
Cabanas,Cabanas
Cernache do Bonjardim,Cernache do Bonjardim
Redondo,Redondo
Vila Pouca de Aguiar,Vila Pouca de Aguiar
Castro Daire,Castro Daire
Fornos de Algodres,Fornos de Algodres
Freixo de Numão,Freixo de Numão
Semide,Semide
Pampilhosa,Pampilhosa
"Ponta Delgada, Açores","Ponta Delgada, Açores"
Proença-a-Nova,Proença-a-Nova
Santar,Santar
Figueira,Figueira
Mealhada,Mealhada
Moncorvo,Moncorvo
Santo Varão,Santo Varão
Vacariça,Vacariça
Almalaguês,Almalaguês
Alpalhão,Alpalhão
Murça,Murça
Vila Franca,Vila Franca
"Ilha Terceira, Açores","Ilha Terceira, Açores"
Leomil,Leomil
Tavarede,Tavarede
Alcains,Alcains
Avô,Avô
Cascais,Cascais
Lobrigos,Lobrigos
Vimieiro,Vimieiro
Vinhais,Vinhais
Avelãs de Caminho,Avelãs de Caminho
Esposende,Esposende
Quiaios,Quiaios
Rabaçal,Rabaçal
Valadares,Valadares
Alcáçovas,Alcáçovas
Aldeia Galega,Aldeia Galega
Almada,Almada
Castelo Viegas,Castelo Viegas
Torrão,Torrão
Turcifal,Turcifal
Amieira,Amieira
Avanca,Avanca
Sameice,Sameice
Santo Tirso,Santo Tirso
Ceira,Ceira
Estarreja,Estarreja
Ferreira,Ferreira
Rio de Moinhos,Rio de Moinhos
Teixoso,Teixoso
Chão de Couce,Chão de Couce
São Vicente da Beira,São Vicente da Beira
Vila Verde,Vila Verde
Albergaria-a-Velha,Albergaria-a-Velha
Angeja,Angeja
"Angra do Heroísmo, Açores","Angra do Heroísmo, Açores"
Arrifana de Santa Maria,Arrifana de Santa Maria
Arronches,Arronches
São Gião,São Gião
Vila Nova de Monsarros,Vila Nova de Monsarros
Almendra,Almendra
Arruda,Arruda
Caria,Caria
Eixo,Eixo
"São Paulo, Brasil","São Paulo, Brasil"
Alvares,Alvares
Bobadela,Bobadela
Canavezes,Canavezes
Celorico de Basto,Celorico de Basto
Ega,Ega
Maranhão,Maranhão
Sabugal,Sabugal
