value,count,date_in,date_max
Lisboa,8784,1537-02-12,1916-07-19
Coimbra,5526,1537-00-00,1915-10-12
Porto,3391,1537-05-30,1917-10-22
Braga,1608,1540-01-21,1914-07-24
Évora,1072,1537-11-22,1910-10-10
Viseu,986,1537-00-00,1912-07-03
Guimarães,980,1537-12-18,1912-07-18
Lamego,972,1537-00-00,1909-10-05
Aveiro,790,1538-04-21,1913-10-13
Vila Real,765,1537-03-07,1909-11-09
Santarém,728,1537-01-29,1909-10-04
Leiria,668,1537-00-00,1910-10-15
Ilha da Madeira,569,1537-01-16,1890-10-16
Portalegre,542,1538-10-18,1912-10-12
Castelo Branco,538,1537-12-18,1910-10-13
Tomar,531,1537-01-18,1912-06-17
Barcelos,527,1538-00-00,1912-06-26
Beja,500,1537-12-18,1909-10-14
"Baía, Brasil",495,1593-10-01,1892-10-28
Viana,494,1555-10-00,1844-10-19
Guarda,475,1538-10-11,1913-10-13
Elvas,448,1537-12-28,1909-10-09
Abrantes,430,1538-11-22,1910-10-15
Montemor-o-Velho,426,1540-00-00,1910-10-11
Setúbal,425,1537-12-18,1905-10-03
"Rio de Janeiro, Brasil",415,1608-10-08,1908-10-03
Ponte de Lima,397,1537-04-29,1912-11-06
Covilhã,393,1538-10-16,1912-08-01
Baía,391,1570-10-01,1893-10-21
Bragança,376,1538-05-26,1912-07-29
Torres Novas,360,1537-00-00,1913-07-16
Soure,359,1549-00-00,1913-07-19
Faro,343,1549-00-00,1912-07-25
Amarante,330,1537-09-22,1911-08-15
Chaves,312,1538-07-11,1909-11-18
Águeda,305,1552-10-00,1912-06-24
Rio de Janeiro,296,1558-10-01,1910-10-24
Vila do Conde,296,1537-12-18,1912-07-12
Castelo de Vide,294,1537-02-19,1899-10-12
Estremoz,288,1551-02-12,1913-07-12
Vila Viçosa,288,1537-12-18,1908-10-02
Lousã,276,1551-12-11,1908-10-13
Trancoso,269,1540-01-16,1907-12-10
Tentúgal,265,1540-01-13,1909-10-15
Arcos de Valdevez,248,1581-11-07,1905-10-07
Moura,248,1538-11-22,1903-10-03
Ourém,243,1537-02-21,1878-10-15
Sertã,241,1561-11-01,1909-10-02
Pombal,240,1538-01-11,1913-08-09
Serpa,236,1538-10-01,1912-06-19
Montemor-o-Novo,235,1537-00-00,1910-10-11
Pinhel,229,1538-00-00,1910-10-10
Basto,226,1551-10-00,1842-10-05
Cantanhede,226,1540-07-06,1909-10-12
Penela,221,1537-00-00,1909-10-12
Viana do Castelo,212,1537-12-18,1909-10-26
Tavira,209,1538-00-00,1913-10-20
Gouveia,207,1540-01-31,1908-10-08
Espinhal,206,1576-03-10,1908-10-15
Ovar,203,1588-11-21,1912-07-08
Torre de Moncorvo,203,1540-10-13,1876-10-15
Arrifana de Sousa,202,1540-10-20,1770-10-01
Torres Vedras,201,1538-04-19,1895-10-28
São Pedro do Sul,197,1540-07-07,1909-10-05
Alcobaça,193,1538-05-07,1906-10-01
Ilha de São Miguel,187,1538-00-00,1888-12-03
Sardoal,184,1549-01-01,1907-10-01
Óbidos,182,1537-10-01,1903-10-07
Monção,174,1540-10-11,1906-10-02
Campo Maior,170,1577-02-01,1910-10-13
Ansião,166,1586-11-04,1913-07-23
Miranda do Corvo,162,1603-10-20,1908-10-06
Nisa,162,1537-04-23,1906-10-15
Pereira,161,1537-12-18,1905-10-07
Buarcos,160,1537-00-00,1909-10-18
Fundão,160,1568-11-18,1911-06-26
Arganil,159,1540-01-31,1908-10-02
Góis,159,1549-10-01,1909-10-02
Penamacor,158,1550-00-00,1910-10-15
Eiras,157,1566-03-02,1907-10-03
Condeixa-a-Nova,155,1579-10-02,1913-07-21
Figueira da Foz,153,1682-10-01,1913-07-11
Caminha,151,1552-02-00,1907-10-01
Lagos,150,1537-02-07,1910-10-31
Alenquer,148,1540-10-11,1900-10-11
Alpedrinha,146,1567-11-03,1908-10-12
Arouca,143,1537-00-00,1901-10-10
Tondela,141,1573-07-03,1907-10-03
Seia,140,1538-05-06,1909-10-02
Ançã,137,1588-10-07,1905-10-12
Figueiró dos Vinhos,136,1563-10-01,1912-08-13
Pernambuco,136,1611-02-09,1858-10-13
Santa Comba Dão,136,1537-05-22,1909-10-02
Vouzela,136,1536-10-00,1903-10-07
Condeixa,135,1537-05-23,1838-10-23
Poiares,135,1545-04-30,1909-10-12
Redinha,135,1550-10-10,1894-10-15
Olivença,134,1537-00-00,1829-06-30
Chamusca,133,1540-10-09,1909-10-06
Mortágua,132,1588-10-07,1861-10-03
Penacova,132,1558-10-00,1907-10-04
Fronteira,131,1540-01-22,1898-10-12
Porto de Mós,127,1550-07-09,1905-10-03
Borba,126,1551-02-05,1907-10-08
Linhares,125,1556-10-01,1896-10-12
"Pernambuco, Brasil",125,1574-10-12,1912-08-12
Verride,125,1581-11-17,1886-10-15
Celorico,124,1538-10-01,1820-11-24
Maiorca,124,1564-02-26,1888-10-29
Idanha-a-Nova,123,1553-07-12,1910-10-13
Loulé,116,1556-10-01,1912-10-16
Ilha Terceira,113,1538-04-22,1858-06-26
Besteiros,111,1538-10-16,1885-10-09
Peso da Régua,110,1671-05-20,1908-10-15
"Punhete, hoje Constância",109,1551-02-12,1827-10-10
Beco,108,1566-10-00,1891-11-03
"Ilha de São Miguel, Açores",108,1537-02-01,1910-08-05
Manteigas,107,1588-10-18,1910-10-12
São João da Pesqueira,107,1537-03-17,1900-10-03
Arraiolos,104,1547-00-00,1904-10-15
Melo,104,1537-11-30,1909-10-07
Funchal,103,1697-12-21,1912-10-24
Taveiro,103,1550-01-04,1872-10-02
Valença do Minho,103,1540-01-12,1916-10-09
Ponte da Barca,101,1570-10-01,1905-10-13
Alvaiázere,100,1537-12-20,1899-10-02
São Martinho do Bispo,100,1595-10-01,1909-10-04
Vila Nova de Cerveira,100,1600-10-05,1910-10-10
Vila Nova de Gaia,100,1587-10-20,1912-06-17
Mirandela,99,1542-06-17,1912-07-24
Pedrogão Grande,99,1552-05-00,1901-10-14
Terra da Feira,99,1585-10-02,1769-10-01
