count,date_in,date_max,naturalidade,normalizada,geocoder,id,address,city,country,importance,class,type,latitude,longitude,distance
8784,1537-02-12,1916-07-19,Lisboa,Lisboa,osm,5400890.0,"Lisboa, Lisboa, Portugal",Lisboa,Portugal,0.8249698324141975,boundary,administrative,38.7440523,-9.151827931741948,174.05785849625087
5526,1537-00-00,1915-10-12,Coimbra,Coimbra,osm,5379538.0,"Coimbra, Coimbra, Portugal",Coimbra,Portugal,0.6853459111399511,boundary,administrative,40.2111931,-8.4294632,0.5119581961595552
3391,1537-05-30,1917-10-22,Porto,Porto,osm,3372453.0,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto, Porto, PT-13, Portugal",Porto,Portugal,0.7351844833316963,boundary,administrative,41.1494512,-8.6107884,105.77015579972024
1608,1540-01-21,1914-07-24,Braga,Braga,osm,4115866.0,"Braga, Braga, Portugal",Braga,Portugal,0.6710452279408594,boundary,administrative,41.5510583,-8.4280045,149.21303229239783
1072,1537-11-22,1910-10-10,Évora,Évora,osm,5402589.0,"Évora, Évora, Portugal",Évora,Portugal,0.6333240641211082,boundary,administrative,38.5707742,-7.9092808,187.07777268937207
986,1537-00-00,1912-07-03,Viseu,Viseu,osm,5330332.0,"Viseu, Viseu, Portugal",Viseu,Portugal,0.6219021390014705,boundary,administrative,40.6574713,-7.9138664,66.22603374008608
980,1537-12-18,1912-07-18,Guimarães,Guimarães,osm,3924938.0,"Guimarães, Braga, Portugal",Guimarães,Portugal,0.6613303452403761,boundary,administrative,41.4417677,-8.2955712,137.51557778578896
972,1537-00-00,1909-10-05,Lamego,Lamego,osm,5328700.0,"Lamego, Viseu, Portugal",Lamego,Portugal,0.5780909477407741,boundary,administrative,41.0717403,-7.814995487505705,109.01119132166004
790,1538-04-21,1913-10-13,Aveiro,Aveiro,osm,5325138.0,"Aveiro, Aveiro, Portugal",Aveiro,Portugal,0.6254959776470176,boundary,administrative,40.640496,-8.6537841,51.82930144662346
765,1537-03-07,1909-11-09,Vila Real,Vila Real,osm,4202166.0,"Vila Real, Vila Real, Portugal",Vila Real,Portugal,0.6781910284929986,boundary,administrative,41.3006242,-7.764228163106368,133.64348378782475
728,1537-01-29,1909-10-04,Santarém,Santarém,osm,5400573.0,"Santarém, Santarém, Portugal",Santarém,Portugal,0.6126345352272938,boundary,administrative,39.3260467,-8.691539948696757,100.46919827211786
668,1537-00-00,1910-10-15,Leiria,Leiria,osm,5399202.0,"Leiria, Leiria, Portugal",Leiria,Portugal,0.6391971089103968,boundary,administrative,39.80105605,-8.770257986372755,53.851260419858015
569,1537-01-16,1890-10-16,Ilha da Madeira,Ilha da Madeira,osm,1715038.0,"Ilha da Madeira, Madeira, Portugal",,Portugal,0.8390243238256223,place,island,32.751748750000004,-16.981752048847362,1126.843589138665
542,1538-10-18,1912-10-12,Portalegre,Portalegre,osm,5397069.0,"Portalegre, Portalegre, Portugal",Portalegre,Portugal,0.568698683818075,boundary,administrative,39.2911347,-7.4333887,132.6152921368798
538,1537-12-18,1910-10-13,Castelo Branco,Castelo Branco,osm,5396187.0,"Castelo Branco, Castelo Branco, Portugal",Castelo Branco,Portugal,0.675143170088859,boundary,administrative,39.8622554,-7.553197840861578,83.77449761285658
531,1537-01-18,1912-06-17,Tomar,Tomar,osm,5400346.0,"Tomar, Santarém, Portugal",Tomar,Portugal,0.586726374574658,boundary,administrative,39.6036596,-8.4150492,67.04398541517801
527,1538-00-00,1912-06-26,Barcelos,Barcelos,osm,3737586.0,"Barcelos, Braga, Portugal",Barcelos,Portugal,0.6095309382063085,boundary,administrative,41.5314496,-8.6192306,147.93452769811475
500,1537-12-18,1909-10-14,Beja,Beja,osm,5403215.0,"Beja, Beja, Portugal",Beja,Portugal,0.6001170681543043,boundary,administrative,38.0154479,-7.8650368,248.1356379710808
495,1593-10-01,1892-10-28,"Baía, Brasil","Salvador, Brasil",osm,362362.0,"Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",Salvador,Brasil,0.8016395518776811,boundary,administrative,-12.9822499,-38.4812772,6657.289391779216
494,1555-10-00,1844-10-19,Viana,Viana do Castelo,osm,3898131.0,"Viana do Castelo, Portugal",,Portugal,0.7951336446496036,boundary,administrative,41.8803257,-8.523255293554344,185.96374686032945
475,1538-10-11,1913-10-13,Guarda,Guarda,osm,2403607.0,"Guarda, Guarda, Portugal",Guarda,Portugal,0.5387485870051533,boundary,administrative,40.5378408,-7.2662964,105.10241176856952
448,1537-12-28,1909-10-09,Elvas,Elvas,osm,5397423.0,"Elvas, Portalegre, Portugal",Elvas,Portugal,0.5857484931628248,boundary,administrative,38.8811828,-7.1637495,182.90023334619744
430,1538-11-22,1910-10-15,Abrantes,Abrantes,osm,5400339.0,"Abrantes, Santarém, Portugal",Abrantes,Portugal,0.5724117577924412,boundary,administrative,39.4631905,-8.1973618,84.9191110497895
426,1540-00-00,1910-10-11,Montemor-o-Velho,Montemor-o-Velho,osm,5378425.0,"Montemor-o-Velho, Coimbra, Portugal",Montemor-o-Velho,Portugal,0.776860972573933,boundary,administrative,40.1726104,-8.6844483,22.34518396296744
425,1537-12-18,1905-10-03,Setúbal,Setúbal,osm,5401851.0,"Setúbal, Setúbal, Portugal",Setúbal,Portugal,0.6323420061468253,boundary,administrative,38.5241783,-8.8932341,191.1656034078813
415,1608-10-08,1908-10-03,"Rio de Janeiro, Brasil","Rio de Janeiro, Brasil",osm,2697338.0,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",Rio de Janeiro,Brasil,1.125262735848676,boundary,administrative,-22.9110137,-43.2093727,7863.580161168017
415,1608-10-08,1908-10-03,"Rio de Janeiro, Brasil","Rio de Janeiro, Brasil",osm,2697338.0,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",Rio de Janeiro,Brasil,1.125262735848676,boundary,administrative,-22.9110137,-43.2093727,7863.580161168017
397,1537-04-29,1912-11-06,Ponte de Lima,Ponte de Lima,osm,3808753.0,"Ponte de Lima, Viana do Castelo, Portugal",Ponte de Lima,Portugal,0.7471359580160564,boundary,administrative,41.7467782,-8.573464983127572,171.40069388750226
393,1538-10-16,1912-08-01,Covilhã,Covilhã,osm,5384331.0,"Covilhã, Castelo Branco, Portugal",Covilhã,Portugal,0.5907427655249622,boundary,administrative,40.2805658,-7.5043211,78.8442156420411
391,1570-10-01,1893-10-21,Baía,"Salvador, Brasil",osm,362362.0,"Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",Salvador,Brasil,0.8016395518776811,boundary,administrative,-12.9822499,-38.4812772,6657.289391779216
