value,count,date_in,date_max
Lisboa,8903,1537-02-12,1916-07-19
Coimbra,5780,1537-00-00,1915-10-12
Porto,3607,1537-05-30,1917-10-22
Braga,1737,1540-01-21,1914-07-24
Brasil,1636,1574-10-12,1915-11-29
Viseu,1305,1537-00-00,1914-07-11
Lamego,1131,1537-00-00,1909-10-05
Évora,1106,1537-11-22,1912-07-22
Guimarães,1068,1537-12-18,1912-07-18
Vila Real,958,1537-03-07,1909-11-09
Baía,957,1570-10-01,1894-10-23
Aveiro,929,1538-04-21,1917-07-10
Santarém,770,1537-01-29,1912-08-06
Rio de Janeiro,749,1558-10-01,1915-11-29
Leiria,721,1537-00-00,1910-10-15
Guarda,663,1538-10-11,1913-10-13
Barcelos,631,1538-00-00,1912-06-26
Ilha da Madeira,617,1537-01-16,1909-10-02
Castelo Branco,601,1537-12-18,1912-06-19
Tomar,585,1537-01-18,1912-06-17
Portalegre,574,1538-10-18,1912-10-12
Viana,552,1554-00-00,1848-06-05
Beja,537,1537-12-18,1910-10-15
Bragança,479,1538-05-26,1912-07-29
Elvas,454,1537-12-28,1909-10-09
Açores,449,1537-02-01,1912-08-08
Abrantes,440,1538-11-22,1913-07-19
Montemor-o-Velho,438,1540-00-00,1910-10-11
Setúbal,431,1537-12-18,1905-10-03
Covilhã,417,1538-00-00,1912-08-01
Ponte de Lima,412,1537-04-29,1912-11-06
Faro,388,1549-00-00,1912-07-25
Torres Novas,380,1537-00-00,1913-07-16
Soure,374,1549-00-00,1913-07-19
Amarante,354,1537-09-22,1911-08-15
Chaves,346,1538-07-11,1910-10-14
Águeda,326,1552-10-00,1912-06-24
Ilha de São Miguel,323,1537-02-01,1910-08-05
Lousã,308,1551-12-11,1912-07-26
Trancoso,308,1540-01-16,1910-10-14
Vila do Conde,308,1537-12-18,1912-07-12
Castelo de Vide,296,1537-02-19,1899-10-12
Pernambuco,295,1574-10-12,1912-08-12
Estremoz,290,1551-02-12,1913-07-12
Vila Viçosa,290,1537-12-18,1908-10-02
Ourém,275,1537-02-21,1878-10-15
Tentúgal,269,1540-01-13,1909-10-15
Pinhel,264,1538-00-00,1910-10-10
Sertã,264,1561-11-01,1909-10-02
Arcos de Valdevez,261,1573-11-14,1913-10-13
Moura,259,1538-11-22,1903-10-03
Viana do Castelo,258,1537-12-18,1909-10-26
Basto,253,1551-10-00,1842-10-31
Pombal,246,1538-01-11,1913-08-09
Penela,245,1537-00-00,1909-10-12
Serpa,244,1538-10-01,1915-10-14
Cantanhede,241,1540-07-06,1909-10-21
Montemor-o-Novo,238,1537-00-00,1910-10-11
Gouveia,236,1540-01-31,1911-06-28
Alcobaça,233,1538-05-07,1906-10-01
Arrifana de Sousa,231,1540-10-20,1770-10-01
Espinhal,222,1537-00-00,1908-10-15
Torres Vedras,219,1538-04-19,1908-10-08
Tavira,218,1538-00-00,1914-10-20
Torre de Moncorvo,208,1540-10-13,1876-10-15
Óbidos,208,1537-10-01,1904-10-08
São Pedro do Sul,207,1540-07-07,1912-08-07
Ovar,204,1588-11-21,1912-07-08
Arganil,202,1540-01-31,1908-10-02
Fundão,190,1568-11-18,1913-07-13
Sardoal,190,1549-01-01,1910-10-12
Funchal,189,1540-09-30,1912-10-24
Monção,182,1540-10-11,1906-10-02
Miranda do Corvo,179,1578-10-14,1908-10-06
Pereira,178,1537-12-18,1905-10-07
Seia,178,1537-00-00,1913-07-16
Ilha Terceira,176,1538-04-22,1866-10-13
Campo Maior,175,1577-02-01,1910-10-13
Ansião,173,1586-11-04,1913-07-23
Ponta Delgada,172,1573-03-07,1912-08-12
Eiras,171,1566-03-02,1907-10-03
Mortágua,170,1588-10-07,1908-10-02
Góis,168,1549-10-01,1909-10-02
Nisa,168,1537-04-23,1906-10-15
Buarcos,167,1537-00-00,1909-10-18
Poiares,166,1545-04-30,1909-10-12
Tondela,166,1573-07-03,1912-10-16
Lagos,164,1537-02-07,1910-11-02
Penamacor,162,1550-00-00,1910-10-15
Caminha,161,1552-02-00,1907-10-01
Penafiel,158,1573-10-07,1912-07-22
Alenquer,156,1540-10-11,1900-10-11
Figueira da Foz,156,1682-10-01,1913-07-11
Condeixa-a-Nova,155,1579-10-02,1913-07-21
Arouca,154,1537-00-00,1910-10-14
Alpedrinha,146,1567-11-03,1908-10-12
Vouzela,146,1536-10-00,1911-07-03
Linhares,145,1556-10-01,1896-10-12
Condeixa,143,1537-05-23,1909-10-02
Ançã,142,1588-10-07,1905-10-12
Penacova,141,1558-10-00,1909-10-14
Fronteira,140,1540-01-22,1898-10-12
Santa Comba Dão,140,1537-05-22,1909-10-02
Olivença,137,1537-00-00,1871-10-07
Porto de Mós,137,1550-07-09,1905-10-03
Redinha,137,1550-10-10,1894-10-15
Figueiró dos Vinhos,136,1563-10-01,1912-08-13
Chamusca,135,1540-10-09,1909-10-06
Borba,131,1551-02-05,1907-10-08
Idanha-a-Nova,128,1553-07-12,1910-10-13
Besteiros,127,1538-10-16,1913-07-19
Maiorca,127,1564-02-26,1888-10-29
Celorico,125,1538-10-01,1820-11-24
Verride,125,1581-11-17,1886-10-15
Feira,124,1568-10-26,1913-07-22
Minas Gerais,123,1731-01-15,1908-10-06
Loulé,122,1556-10-01,1912-10-16
Beco,120,1566-10-00,1894-10-12
Crato,114,1537-07-11,1907-10-12
Peso da Régua,114,1671-05-20,1908-10-15
São João da Pesqueira,113,1537-03-17,1900-10-03
Vila Nova de Gaia,112,1587-10-20,1912-06-17
Resende,111,1556-02-01,1908-10-08
Mirandela,110,1542-06-17,1912-07-24
Pedrogão Grande,110,1552-05-00,1901-10-14
 Constância,109,1551-02-12,1827-10-10
Punhete,109,1551-02-12,1827-10-10
Manteigas,108,1588-10-18,1910-10-12
Arraiolos,106,1547-00-00,1904-10-15
Melo,106,1537-11-30,1909-10-07
Mesão Frio,106,1538-00-00,1913-07-07
São Martinho do Bispo,106,1557-02-01,1909-10-04
Taveiro,106,1550-01-04,1872-10-02
Bemposta,105,1537-07-03,1899-10-10
Terra da Feira,105,1540-03-21,1769-10-01
Alvaiázere,104,1537-12-20,1899-10-02
Ponte da Barca,104,1570-10-01,1905-10-13
Valença do Minho,104,1540-01-12,1916-10-09
Almeida,103,1540-02-07,1909-10-02
Avis,103,1552-07-00,1908-10-02
Cernache,102,1540-00-00,1908-10-07
Fonte Arcada,102,1540-10-06,1905-10-07
Vila Nova de Cerveira,102,1600-10-05,1910-10-10
Monforte,101,1571-12-10,1910-10-13
Esgueira,98,1556-02-01,1908-10-02
Golegã,97,1537-00-00,1906-10-08
Lobão,97,1567-03-03,1913-10-09
Lorvão,96,1580-03-11,1847-10-23
Matosinhos,96,1585-10-02,1899-10-15
