place_name,geocoder,id,address,city,country,importance,class,type,latitude,longitude,distance
A de Barros,osm,3227138297,"A-de-Barros, Penso, Penso e Freixinho, Sernancelhe, Viseu, Portugal",Penso e Freixinho,Portugal,0.55,place,hamlet,40.9264201,-7.5515775,108.89311916248862
Abiul,osm,6548139,"Abiul, Pombal, Leiria, Portugal",Pombal,Portugal,0.4145652793462674,boundary,administrative,39.8727636,-8.5389924,38.38973007869095
Abiúl,osm,6548139,"Abiul, Pombal, Leiria, Portugal",Pombal,Portugal,0.3045652793462674,boundary,administrative,39.8727636,-8.5389924,38.38973007869095
Abragão,osm,5928123,"Abragão, Penafiel, Porto, PT-13, Portugal",Penafiel,Portugal,0.4330614454416833,boundary,administrative,41.1583743,-8.2247687,106.96252745529834
Abrantes,osm,5400339,"Abrantes, Santarém, Portugal",Abrantes,Portugal,0.5724117577924412,boundary,administrative,39.4631905,-8.1973618,84.9191110497895
Abrunheira,osm,1426387562,"Abrunheira, Montemor-o-Velho, Coimbra, Portugal",Montemor-o-Velho,Portugal,0.385,place,village,40.1193315,-8.7263414,27.39174059541152
Abrunhosa,osm,1535456275,"Abrunhosa, São Miguel de Vila Boa, Sátão, Viseu, Portugal",Sátão,Portugal,0.36,place,hamlet,40.7066114,-7.7389142,80.43112257318238
Adaúfe,osm,4133694,"Adaúfe, Braga, Braga, Portugal",Braga,Portugal,0.4688882901947148,boundary,administrative,41.5852662,-8.3947217,153.03493462766534
Aguada de Baixo,osm,1218787478,"Aguada de Baixo, Águeda, Aveiro, Portugal",Águeda,Portugal,0.6112347422123424,place,village,40.510466,-8.4519582,33.72262021385856
Aguada de Cima,osm,6017810,"Aguada de Cima, Águeda, Aveiro, Portugal",Águeda,Portugal,0.626239076957718,boundary,administrative,40.5169467,-8.4158179,34.38100527424064
Aguda,osm,6546627,"Aguda, Figueiró dos Vinhos, Leiria, Portugal",Figueiró dos Vinhos,Portugal,0.4599999999999999,boundary,administrative,39.9071926,-8.3316532,34.29441086446281
Aguiar,osm,3082696868,"Aguiar, Barcelos, Braga, Portugal",Barcelos,Portugal,0.4658994670519893,place,village,41.6265225,-8.6540794,158.7610808810946
Aguiar da Beira,osm,5331731,"Aguiar da Beira, Guarda, Portugal",Aguiar da Beira,Portugal,0.7198611735075304,boundary,administrative,40.81718,-7.54312,100.91308544743222
Aguieira,osm,5329995675,"Aguieira, Oliveira do Mondego e Travanca do Mondego, Penacova, Coimbra, Portugal",Penacova,Portugal,0.36,place,hamlet,40.3374672,-8.2045019,23.73698566554036
