gml_id,text,sourceOfNa
PT.GN.112300,Praia de Faro Nascente,DGT
PT.GN.112301,Belmonte Baixo,DGT
PT.GN.112302,Sagres,DGT
PT.GN.112303,Faro,DGT
PT.GN.112304,Rio Seco,DGT
PT.GN.112305,Montenegro,DGT
PT.GN.112306,Quinta do Eucalipto,DGT
PT.GN.112307,Virgilios,DGT
PT.GN.112308,Cova da Onça,DGT
PT.GN.112309,Pontes de Marchil,DGT
PT.GN.112310,Areal Gordo,DGT
PT.GN.112311,Quinta do Lago,DGT
PT.GN.112312,Olhão,DGT
PT.GN.112313,Gional,DGT
PT.GN.112314,Marim,DGT
PT.GN.112315,Gambelas,DGT
PT.GN.112316,Pereiro,DGT
PT.GN.112317,Bela Curral,DGT
PT.GN.112318,Belmonte Cima,DGT
PT.GN.112319,Campina,DGT
PT.GN.112320,Quatrim do Sul,DGT
PT.GN.112321,Piares,DGT
PT.GN.112322,Patacão,DGT
PT.GN.112323,Biogal,DGT
PT.GN.112324,Mar e Guerra,DGT
PT.GN.112325,Caliços,DGT
PT.GN.112326,Lamaceiro,DGT
PT.GN.112327,Chelote,DGT
PT.GN.112328,Vale de Lobo,DGT
PT.GN.112329,Bias do Sul,DGT
PT.GN.112330,Brancanes,DGT
PT.GN.112331,Montemor,DGT
PT.GN.112332,Pechão,DGT
PT.GN.112333,Quatrim do Norte,DGT
PT.GN.112334,Fuseta,DGT
PT.GN.112335,Braciais,DGT
PT.GN.112336,Bias do Norte,DGT
PT.GN.112337,Quatrim,DGT
PT.GN.112338,Igreja - Quelfes,DGT
PT.GN.112339,Paço Branco,DGT
PT.GN.112340,Fonte Santa,DGT
PT.GN.112341,Conceição,DGT
PT.GN.112342,Arneiro,DGT
PT.GN.112343,Pé do Outeiro,DGT
PT.GN.112344,Corgo da Zorra,DGT
PT.GN.112345,Murtais,DGT
PT.GN.112346,Murteira de Baixo,DGT
PT.GN.112347,Salema,DGT
PT.GN.112348,Vale da Venda,DGT
PT.GN.112349,Boavista,DGT
PT.GN.112350,Ferrarias,DGT
PT.GN.112351,Areias de Almansil,DGT
PT.GN.112352,Laranjeiro,DGT
PT.GN.112353,Chaveca,DGT
PT.GN.112354,Quarteira,DGT
PT.GN.112355,Livramento,DGT
PT.GN.112356,Mata Lobos,DGT
PT.GN.112357,Laranjeiro,DGT
PT.GN.112358,Alecrineira,DGT
PT.GN.112359,Besouro,DGT
PT.GN.112360,Murteira de Cima,DGT
PT.GN.112361,Barros,DGT
PT.GN.112362,Jardina,DGT
PT.GN.112363,Figueiral,DGT
PT.GN.112364,Figueira,DGT
PT.GN.112365,Fornalha,DGT
PT.GN.112366,Além,DGT
PT.GN.112367,Burgau,DGT
PT.GN.112368,Passis,DGT
PT.GN.112369,Areia,DGT
PT.GN.112370,São João da Venda,DGT
PT.GN.112371,Torre,DGT
PT.GN.112372,Sesmarias,DGT
PT.GN.112373,São Lourenço,DGT
PT.GN.112374,Bela Salema,DGT
PT.GN.112375,Troto,DGT
PT.GN.112376,Escanxinas,DGT
PT.GN.112377,Gião,DGT
