bnp_id,name_bn,date_bn,qualification,bnp_id,fauc_id
1724018,Pedro Mariz de Sousa Sarmento,1745-1822,,1724018,
1724099,João Ernesto Cabral de Vasconcelos Seive do Canto,17--,,1724099,
1724100,João Manuel de Melo,17--,,1724100,
1724140,Jacinto Pereira de Brito,17--,,1724140,
1724142,Francisco de Brito Cação,16--,,1724142,
1724170,Pedro André Borges de Lima,17--,,1724170,
1724199,Francisco Xavier de Albuquerque,17--,,1724199,
1724287,Peter Becker,16--,,1724287,
1724289,Santos Rodrigues Lima,17--,,1724289,
1724416,Manuel Rodrigues Batalha,17--,,1724416,
1724538,Giovanni Poleni,1683-1761,,1724538,
1724960,João Ribeiro Gaio,-1601,,1724960,
1725000,Luís Antonio de Azevedo,1755-1815,,1725000,
1725685,Martinho da França Pereira Coutinho,1821-1884,,1725685,
1726866,A. Cyrillo Soares,1883-1950,,1726866,
1727067,6º Marquês de Marialva,1775-1823,,1727067,
1728101,Tomásia Maria Micaela de Loureiro e Lacerda,1731,,1728101,
1728302,Francisco de Melo e Carvalho,1769,,1728302,
1728303,Félix de Jesus,"15---1640,",O.E.S.A.,1728303,
1728326,Luísa Barbosa Brandão,1874-1952,,1728326,
1728345,J. P. de Carvalho,18--,,1728345,
1728348,António Fernandes de Castro,17--,,1728348,
1728400,Manuel da Soledade Melo de Vasconcelos,"17---18--,",O. Carm.,1728400,
1728412,José Narciso da Cunha Vasconcelos e Sá,18--,,1728412,
1728417,José António Campos de Abreu,18--,,1728417,
1728569,Afonso de Portugal,1591-1649,,1728569,
1729041,José Caetano de Paiva Pereira,1778-1848,,1729041,
1729640,Augusto Pereira do Vale,1867-1912,,1729640,
1729651,Isaías Dias Newton,1871-1925,,1729651,
1729681,Inácio Lázaro de Sá Viana,1701-1799,,1729681,
1730037,Laurentino d'Oliveira,1888?-1928,,1730037,
1731039,António Vitorino da Mota,1836-1890,,1731039,
1731212,Francisco António,1765,,1731212,
1731361,Alexandre de Castro Soares,1891-1984,,1731361,
1731388,Johann Matthias Stann,1662-1726,,1731388,
1731470,Manuel Tavares Coutinho da Silva,1724-1798,,1731470,
1731589,Joaquim Diva Ana,17--,,1731589,
1732416,José de Freitas Teixeira Spínola de Castelo Branco,1801-1889,,1732416,
1732684,Domingos Pinheiro,1688-1748,S.J.,1732684,
1733448,José Manuel Pinto de Sousa,1754-1818,,1733448,
1733515,Venceslau José de Sousa Teles,1837-1901,,1733515,
1733532,José Rodrigues da Silva,1820-1902,,1733532,
1733917,João José Solner,1774-1794,,1733917,
1734222,Alberto Feio da Rocha Páris,1863-1912,,1734222,
1734457,Jacob Bernardes,"16---1718,",C.O.,1734457,
1735969,João Frederico Tavares Belo,1855-1922,,1735969,
1736162,António de Souza de Araújo Valdez,1784-1838,,1736162,
1736220,Simão Froes de Lemos,1675-1759,,1736220,
1737531,Pedro Vieira da Silva,1598-1676,,1737531,
1737724,Bernardo Gil,"18--,",O. M.,1737724,
1737908,José de Sousa Tavares,1871-1918,,1737908,
1737982,José Gomes Eanes Amado de Azambuja,16---17--,,1737982,
1738062,Aluísio Correia de Paiva,18--,,1738062,
1738079,Francisco de Magalhães Barros de Araujo Queiroz,1883-1966,,1738079,
