,wikidata,name,alias,bnp_id,naturalidade,placeID,longitude,latitude,birth_date,fauc_id
40,http://www.wikidata.org/entity/Q9559855,Aarão Ferreira de Lacerda,,103998,Vila Nova de Paiva,http://www.wikidata.org/entity/Q1003146,-7.7333333333333,40.85,1863-10-03,
473,http://www.wikidata.org/entity/Q106271718,Abel Maria Jordão de Paiva Manso,,,Coimbra,http://www.wikidata.org/entity/Q45412,-8.4288888888889,40.211111111111,1801-03-03,
813,http://www.wikidata.org/entity/Q23820937,Abílio Augusto da Fonseca Pinto,,314551,Coimbra,http://www.wikidata.org/entity/Q45412,-8.4288888888889,40.211111111111,1830-05-27,245300
9,http://www.wikidata.org/entity/Q9561614,Abílio Beça,,,,,,,1856-08-20,
820,http://www.wikidata.org/entity/Q19607365,Adolfo Ferreira Loureiro,Adolfo Ferreira de Loureiro,83492,São Bartolomeu,http://www.wikidata.org/entity/Q1026333,-8.43054,40.20848,1836-12-12,
405,http://www.wikidata.org/entity/Q16144296,Adriano António Canavarro Crispiniano da Fonseca,,,Marco de Canaveses,http://www.wikidata.org/entity/Q188050,-8.15,41.183333333333,1884-11-08,
172,http://www.wikidata.org/entity/Q56072395,Adriano Inácio Botelho,,15765,Angra do Heroísmo,http://www.wikidata.org/entity/Q193677,-27.215277777778,38.655833333333,1892-09-12,186608
346,http://www.wikidata.org/entity/Q383401,Afonso Costa,Afonso Augusto Costa,34862,Seia,http://www.wikidata.org/entity/Q76017,-7.70245,40.42203,1871-03-06,198981
342,http://www.wikidata.org/entity/Q383401,Afonso Costa,Afonso Augusto da Costa,34862,Seia,http://www.wikidata.org/entity/Q76017,-7.70245,40.42203,1871-03-06,
252,http://www.wikidata.org/entity/Q4689383,Afonso Mendes,,,Santo Aleixo da Restauração,http://www.wikidata.org/entity/Q2223673,-7.15,38.066666666667,1579-06-28,
490,http://www.wikidata.org/entity/Q16142675,Afonso Pinto Veloso,Afonso de Melo Pinto Veloso,218585,Águeda,http://www.wikidata.org/entity/Q249906,-8.4416666666667,40.580519444444,1878-10-09,214665
414,http://www.wikidata.org/entity/Q16144891,Aires Jácome Correia,,82977,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1882-08-09,
760,http://www.wikidata.org/entity/Q2275881,Alberto Monsaraz,Alberto de Monsaraz,97665,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1889-02-28,250889
479,http://www.wikidata.org/entity/Q16487096,Alberto Pinheiro Torres,,104153,Braga,http://www.wikidata.org/entity/Q83247,-8.4166666666667,41.533333333333,1874-11-02,203860
472,http://www.wikidata.org/entity/Q16487343,Alberto Teles de Utra Machado,,109620,Angra do Heroísmo,http://www.wikidata.org/entity/Q193677,-27.215277777778,38.655833333333,1840-01-24,
284,http://www.wikidata.org/entity/Q47318259,Alberto da Veiga Simões,,105505,Arganil,http://www.wikidata.org/entity/Q426953,-8.05,40.216666666667,1888-12-16,231020
91,http://www.wikidata.org/entity/Q9594728,Albino dos Reis,Albino Soares Pinto dos Reis,,Oliveira de Azeméis,http://www.wikidata.org/entity/Q405252,-8.4833333333333,40.833333333333,1888-09-30,
426,http://www.wikidata.org/entity/Q16488032,"Alexandre Braga, pai",Alexandre José da Silva Braga,131608,Porto,http://www.wikidata.org/entity/Q36433,-8.6107777777778,41.149472222222,1829-03-14,187311
461,http://www.wikidata.org/entity/Q16488152,Alexandre Meireles do Canto e Castro,,101830,Angra do Heroísmo,http://www.wikidata.org/entity/Q193677,-27.215277777778,38.655833333333,1827-03-10,132510
822,http://www.wikidata.org/entity/Q188916,Alexandre Rodrigues Ferreira,,58614,Salvador,http://www.wikidata.org/entity/Q36947,-38.492777777778,-12.983055555556,1756-04-27,
56,http://www.wikidata.org/entity/Q96749053,Alexandre de Gamboa Loureiro,,,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1770-08-26,253931
20,http://www.wikidata.org/entity/Q921705,Alexandre de Serpa Pinto,Alexandre Alberto da Rocha de Serpa Pinto,32584,Cinfães,http://www.wikidata.org/entity/Q861464,-8.0833333333333,41.066666666667,1846-04-20,223565
5,http://www.wikidata.org/entity/Q921705,Alexandre de Serpa Pinto,Alexandre Serpa Pinto,32584,Cinfães,http://www.wikidata.org/entity/Q861464,-8.0833333333333,41.066666666667,1846-04-20,
449,http://www.wikidata.org/entity/Q1636522,Alfredo Augusto de Soveral Martins,Alfredo Cardoso de Soveral Martins,,Almacave,http://www.wikidata.org/entity/Q64348,-7.80823,41.10213,1869-06-07,
480,http://www.wikidata.org/entity/Q16488312,Alfredo Carneiro da Cunha,,55851,Fundão,http://www.wikidata.org/entity/Q1024927,-7.5,40.133333333333,1863-12-21,208773
297,http://www.wikidata.org/entity/Q4723837,Alfredo Pimenta,Alfredo Augusto Lopes Pimenta,88166,Guimarães,http://www.wikidata.org/entity/Q170903,-8.2908333333333,41.445,1882-12-03,296360
60,http://www.wikidata.org/entity/Q9603234,Alfredo da Silva Sampaio,,139806,Angra do Heroísmo,http://www.wikidata.org/entity/Q193677,-27.215277777778,38.655833333333,1872-09-19,
357,http://www.wikidata.org/entity/Q316806,Almeida Garrett,Almeida Garret,21170,Porto,http://www.wikidata.org/entity/Q36433,-8.6107777777778,41.149472222222,1799-02-04,144223
358,http://www.wikidata.org/entity/Q316806,Almeida Garrett,Almeida Garret,21170,Porto,http://www.wikidata.org/entity/Q36433,-8.6107777777778,41.149472222222,1799-02-04,
810,http://www.wikidata.org/entity/Q23777977,Almiro Maia de Loureiro,,117706,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1897-09-21,
821,http://www.wikidata.org/entity/Q20045590,Amadeu de Castro e Sola,Amadeu Teles da Silva de Afonseca Mesquita de Castro Pereira e Solla,43584,Braga,http://www.wikidata.org/entity/Q83247,-8.4166666666667,41.533333333333,1874-08-19,
398,http://www.wikidata.org/entity/Q321278,Anselmo José Braamcamp,Anselmo Braancamp,154958,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1817-10-23,
304,http://www.wikidata.org/entity/Q321278,Anselmo José Braamcamp,Anselmo braamcamp,154958,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1817-10-23,164265
279,http://www.wikidata.org/entity/Q467494,Antero de Quental,Antero Tarquínio de Quental,10763,Ponta Delgada,http://www.wikidata.org/entity/Q208149,-25.67,37.74,1842-04-18,132885
286,http://www.wikidata.org/entity/Q467494,Antero de Quental,Antero de Quintal,10763,Ponta Delgada,http://www.wikidata.org/entity/Q208149,-25.67,37.74,1842-04-18,
376,http://www.wikidata.org/entity/Q27786526,Antonio Cordeses,,,Olot,http://www.wikidata.org/entity/Q12618,2.4890165,42.1821928,1518-08-09,
788,http://www.wikidata.org/entity/Q21522539,Antonio da Costa Paiva,A.Paiva,40710,Porto,http://www.wikidata.org/entity/Q36433,-8.6107777777778,41.149472222222,1806-10-12,
835,http://www.wikidata.org/entity/Q21522539,Antonio da Costa Paiva,António da Costa Paiva,40710,Porto,http://www.wikidata.org/entity/Q36433,-8.6107777777778,41.149472222222,1806-10-12,221537
173,http://www.wikidata.org/entity/Q60467443,António Aires de Gouveia,,111295,Porto,http://www.wikidata.org/entity/Q36433,-8.6107777777778,41.149472222222,1828-09-13,282433
137,http://www.wikidata.org/entity/Q55688130,António Augusto da Costa Simões,,105257,Vacariça,http://www.wikidata.org/entity/Q2236805,-8.4111111111111,40.372222222222,1819-08-23,
784,http://www.wikidata.org/entity/Q18715803,António Augusto da Silva Martins,,,Abrantes,http://www.wikidata.org/entity/Q331191,-8.1978194444444,39.464444444444,1892-04-04,184909
